Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Player,Ht
1964-65,22.0,LAL,NBA,G,66.0,,13.9,1.8,4.6,0.382,0.7,1.1,0.648,,,1.7,2.1,,,2.0,4.2,Walt Hazzard,6-2
1965-66,23.0,LAL,NBA,G,80.0,,27.5,5.7,12.5,0.457,2.3,3.2,0.708,,,2.7,4.9,,,2.8,13.7,Walt Hazzard,6-2
1966-67,24.0,LAL,NBA,G,79.0,,20.8,3.8,8.9,0.426,1.6,2.2,0.729,,,2.9,4.1,,,2.6,9.3,Walt Hazzard,6-2
1967-68,25.0,SEA,NBA,G,79.0,,33.7,9.3,21.0,0.441,5.4,7.0,0.774,,,4.2,6.2,,,3.1,24.0,Walt Hazzard,6-2
1968-69,26.0,ATL,NBA,G,80.0,,30.3,4.3,10.9,0.397,2.6,3.7,0.707,,,3.3,5.9,,,3.3,11.2,Walt Hazzard,6-2
1969-70,27.0,ATL,NBA,G,82.0,,33.6,6.0,12.9,0.467,3.3,4.0,0.809,,,4.0,6.8,,,3.2,15.3,Walt Hazzard,6-2
1970-71,28.0,ATL,NBA,G,82.0,,35.1,6.3,13.7,0.459,3.8,5.1,0.759,,,3.7,6.3,,,3.4,16.5,Walt Hazzard,6-2
1971-72,29.0,BUF,NBA,G,72.0,,33.2,6.3,13.9,0.451,3.3,4.2,0.782,,,3.0,5.6,,,3.2,15.8,Walt Hazzard,6-2
1972-73,30.0,TOT,NBA,G,55.0,,13.9,1.9,4.7,0.418,0.9,1.0,0.825,,,1.6,2.3,,,2.0,4.7,Walt Hazzard,6-2
1973-74,31.0,SEA,NBA,G,49.0,,11.7,1.6,3.7,0.422,0.7,0.9,0.756,0.4,0.8,1.2,2.5,0.5,0.1,1.6,3.8,Walt Hazzard,6-2
