Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Ht
1968-69,22.0,TOT,NBA,C-F,49.0,,19.3,2.9,8.0,0.369,1.4,2.3,0.619,,,8.3,0.8,,,,2.3,7.3,Zaid Abdul-Aziz,6-9
1969-70,23.0,MIL,NBA,C-F,80.0,,20.5,3.0,6.8,0.434,1.5,2.3,0.643,,,7.5,0.8,,,,2.1,7.4,Zaid Abdul-Aziz,6-9
1970-71,24.0,SEA,NBA,C-F,61.0,,20.9,4.3,9.8,0.441,2.3,3.1,0.739,,,7.7,0.7,,,,1.9,10.9,Zaid Abdul-Aziz,6-9
1971-72,25.0,SEA,NBA,C-F,58.0,,30.7,5.6,12.9,0.429,2.7,3.7,0.72,,,11.3,2.1,,,,3.1,13.8,Zaid Abdul-Aziz,6-9
1972-73,26.0,HOU,NBA,C-F,48.0,,18.8,3.1,7.8,0.397,2.5,3.4,0.735,,,6.3,1.1,,,,2.3,8.7,Zaid Abdul-Aziz,6-9
1973-74,27.0,HOU,NBA,C-F,79.0,,31.1,4.3,9.3,0.459,2.4,3.0,0.804,3.3,8.4,11.7,2.1,1.0,1.3,,2.9,10.9,Zaid Abdul-Aziz,6-9
1974-75,28.0,HOU,NBA,C-F,65.0,,22.3,3.6,8.3,0.437,2.4,3.1,0.783,2.4,5.1,7.5,1.3,0.6,1.1,,2.0,9.7,Zaid Abdul-Aziz,6-9
1975-76,29.0,SEA,NBA,C-F,27.0,,8.3,1.3,2.8,0.467,0.6,1.1,0.552,1.1,1.7,2.8,0.6,0.3,0.6,,1.1,3.2,Zaid Abdul-Aziz,6-9
1976-77,30.0,BUF,NBA,C-F,22.0,,8.9,1.1,3.4,0.338,1.5,2.0,0.767,1.9,2.2,4.1,0.3,0.1,0.4,,1.0,3.8,Zaid Abdul-Aziz,6-9
1977-78,31.0,TOT,NBA,C-F,16.0,,9.9,1.4,3.8,0.383,1.1,1.4,0.739,1.2,1.9,3.1,0.6,0.2,0.2,0.9,1.8,3.9,Zaid Abdul-Aziz,6-9
