Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Ht
1984-85,26.0,CLE,NBA,F-G,36,7,14.4,2.3,5.4,.431,0.0,0.1,.500,2.3,5.4,.430,.433,1.1,1.4,.820,1.1,1.4,2.4,0.9,0.3,0.2,0.9,1.1,5.8,Ron Anderson,6-7
1985-86,27.0,TOT,NBA,F-G,77,30,21.8,4.0,8.2,.494,0.0,0.1,.222,4.0,8.0,.498,.495,1.1,1.6,.669,1.7,1.9,3.6,1.9,0.7,0.1,1.1,1.6,9.2,Ron Anderson,6-7
1986-87,28.0,IND,NBA,F-G,63,0,11.4,2.2,4.7,.473,0.0,0.1,.000,2.2,4.6,.481,.473,1.3,1.7,.787,1.2,1.2,2.4,0.9,0.5,0.0,0.9,1.0,5.8,Ron Anderson,6-7
1987-88,29.0,IND,NBA,F-G,74,1,14.8,2.9,5.9,.498,0.0,0.0,.000,2.9,5.9,.500,.498,1.5,1.9,.766,1.2,1.7,2.9,1.1,0.6,0.1,1.0,1.3,7.3,Ron Anderson,6-7
1988-89,30.0,PHI,NBA,F-G,82,12,31.9,6.9,14.0,.491,0.0,0.1,.182,6.9,13.9,.494,.492,2.4,2.8,.856,2.0,2.9,5.0,1.7,0.9,0.3,1.5,2.0,16.2,Ron Anderson,6-7
1989-90,31.0,PHI,NBA,F-G,78,3,26.8,4.9,10.8,.451,0.0,0.3,.143,4.8,10.5,.459,.452,2.1,2.5,.838,1.0,2.7,3.8,1.8,0.9,0.2,1.0,1.8,11.9,Ron Anderson,6-7
1990-91,32.0,PHI,NBA,F-G,82,13,28.5,6.2,12.9,.485,0.1,0.5,.209,6.1,12.3,.497,.490,2.0,2.4,.833,1.3,3.2,4.5,1.4,0.8,0.2,1.2,2.0,14.6,Ron Anderson,6-7
1991-92,33.0,PHI,NBA,F-G,82,11,29.7,5.7,12.3,.465,0.5,1.5,.331,5.2,10.7,.485,.486,1.7,2.0,.877,1.2,2.2,3.4,1.6,1.0,0.1,1.3,1.6,13.7,Ron Anderson,6-7
1992-93,34.0,PHI,NBA,F-G,69,0,18.3,3.3,7.9,.414,0.6,1.7,.325,2.7,6.1,.439,.449,1.0,1.3,.809,0.9,1.8,2.7,1.3,0.4,0.1,0.9,1.1,8.1,Ron Anderson,6-7
1993-94,35.0,TOT,NBA,F-G,21,2,17.0,1.7,4.1,.407,0.3,1.2,.269,1.3,2.9,.467,.448,0.9,1.1,.826,0.8,1.8,2.5,0.8,0.4,0.1,0.5,0.8,4.6,Ron Anderson,6-7
