Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Player,Ht
1966-67,22.0,BOS,NBA,G-F,48.0,,8.0,1.6,4.4,0.37,0.9,1.3,0.677,,,1.1,0.9,,,1.3,4.1,Jim Barnett,6-4
1967-68,23.0,SDR,NBA,G-F,47.0,,22.7,3.8,9.7,0.393,1.8,2.5,0.712,,,3.3,2.9,,,2.1,9.4,Jim Barnett,6-4
1968-69,24.0,SDR,NBA,G-F,80.0,,29.3,5.8,13.7,0.425,2.9,3.9,0.752,,,4.5,4.2,,,3.0,14.5,Jim Barnett,6-4
1969-70,25.0,SDR,NBA,G-F,80.0,,26.3,5.6,12.5,0.451,3.6,4.6,0.79,,,3.8,3.6,,,2.8,14.9,Jim Barnett,6-4
1970-71,26.0,POR,NBA,G-F,78.0,,30.4,7.2,16.4,0.436,4.2,5.2,0.811,,,4.8,4.1,,,2.4,18.5,Jim Barnett,6-4
1971-72,27.0,GSW,NBA,G-F,80.0,,27.5,4.7,11.4,0.409,3.1,3.7,0.836,,,3.1,3.9,,,2.4,12.4,Jim Barnett,6-4
1972-73,28.0,GSW,NBA,G-F,82.0,,27.0,4.8,10.3,0.467,2.2,2.6,0.843,,,3.1,3.7,,,1.8,11.8,Jim Barnett,6-4
1973-74,29.0,GSW,NBA,G-F,77.0,,21.9,4.5,9.8,0.464,2.4,2.9,0.814,1.0,1.9,2.9,2.7,0.7,0.1,1.9,11.5,Jim Barnett,6-4
1974-75,30.0,TOT,NBA,G-F,73.0,,24.3,3.9,8.9,0.437,2.7,3.3,0.836,0.8,1.6,2.5,2.4,0.6,0.2,2.2,10.5,Jim Barnett,6-4
1975-76,31.0,NYK,NBA,G-F,71.0,,14.5,2.3,5.2,0.442,1.3,1.6,0.789,0.7,0.6,1.2,1.3,0.3,0.0,1.2,5.9,Jim Barnett,6-4
1976-77,32.0,PHI,NBA,G-F,16.0,,14.4,1.8,4.0,0.438,0.6,1.1,0.556,0.4,0.4,0.9,1.4,0.3,0.0,1.8,4.1,Jim Barnett,6-4
