Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS,Player,Ht
1962-63,24.0,STL,NBA,G,77.0,,35.0,4.7,10.9,0.43,,,,4.7,10.9,0.43,0.43,2.4,3.3,0.71,,,4.7,4.2,,,2.2,11.7,John Barnhill,6-1
1963-64,25.0,STL,NBA,G,74.0,,18.5,2.8,6.8,0.412,,,,2.8,6.8,0.412,0.412,0.9,1.6,0.609,,,2.1,2.0,,,1.4,6.6,John Barnhill,6-1
1964-65,26.0,STL,NBA,G,41.0,,19.0,3.0,7.6,0.388,,,,3.0,7.6,0.388,0.388,1.1,1.7,0.643,,,2.2,1.9,,,1.4,7.0,John Barnhill,6-1
1965-66,27.0,TOT,NBA,G,76.0,,21.3,3.2,8.0,0.401,,,,3.2,8.0,0.401,0.401,1.5,2.4,0.614,,,2.7,2.6,,,1.8,7.9,John Barnhill,6-1
1966-67,28.0,BAL,NBA,G,53.0,,22.9,3.5,8.4,0.418,,,,3.5,8.4,0.418,0.418,1.2,1.9,0.641,,,3.0,2.6,,,1.5,8.3,John Barnhill,6-1
1967-68,29.0,SDR,NBA,G,75.0,,25.1,3.9,9.3,0.421,,,,3.9,9.3,0.421,0.421,2.1,3.1,0.658,,,2.3,3.5,,,1.9,9.9,John Barnhill,6-1
1968-69,30.0,BAL,NBA,G,30.0,,16.8,2.5,5.8,0.434,,,,2.5,5.8,0.434,0.434,1.3,2.2,0.6,,,1.8,2.4,,,2.1,6.4,John Barnhill,6-1
1969-70,31.0,INA,ABA,G,77.0,,30.8,4.2,10.7,0.394,0.9,3.5,0.261,3.3,7.2,0.46,0.438,2.1,3.1,0.664,0.8,1.5,2.2,4.1,,2.0,2.5,11.4,John Barnhill,6-1
1970-71,32.0,TOT,ABA,G,67.0,,19.4,2.7,7.4,0.365,0.5,2.2,0.218,2.2,5.2,0.427,0.397,1.4,2.0,0.716,0.7,1.0,1.7,2.4,,1.2,1.6,7.3,John Barnhill,6-1
1971-72,33.0,INA,ABA,G,19.0,,10.2,1.5,4.6,0.322,0.2,1.8,0.114,1.3,2.7,0.462,0.345,0.4,0.8,0.533,0.4,0.6,1.0,0.8,,0.6,0.8,3.6,John Barnhill,6-1
