Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Player,Ht
1961-62,22.0,CHP,NBA,C,79.0,,42.3,12.3,23.7,0.519,6.9,10.8,0.644,,,19.0,2.7,,,3.6,31.6,Walt Bellamy,6-11
1962-63,23.0,CHZ,NBA,C,80.0,,41.3,10.5,19.9,0.527,6.9,10.3,0.674,,,16.4,2.9,,,3.5,27.9,Walt Bellamy,6-11
1963-64,24.0,BAL,NBA,C,80.0,,42.4,10.1,19.8,0.513,6.7,10.3,0.651,,,17.0,1.6,,,3.8,27.0,Walt Bellamy,6-11
1964-65,25.0,BAL,NBA,C,80.0,,41.3,9.2,18.0,0.509,6.4,9.4,0.685,,,14.6,2.4,,,3.3,24.8,Walt Bellamy,6-11
1965-66,26.0,TOT,NBA,C,80.0,,41.9,8.7,17.2,0.506,5.4,8.6,0.624,,,15.7,2.9,,,3.7,22.8,Walt Bellamy,6-11
1966-67,27.0,NYK,NBA,C,79.0,,38.1,7.2,13.7,0.521,4.7,7.3,0.636,,,13.5,2.6,,,3.5,19.0,Walt Bellamy,6-11
1967-68,28.0,NYK,NBA,C,82.0,,32.9,6.2,11.5,0.541,4.3,6.5,0.662,,,11.7,2.0,,,3.2,16.7,Walt Bellamy,6-11
1968-69,29.0,TOT,NBA,C,88.0,,35.9,6.4,12.5,0.51,4.6,7.0,0.649,,,12.5,2.0,,,3.6,17.4,Walt Bellamy,6-11
1969-70,30.0,TOT,NBA,C,79.0,,25.7,4.4,8.5,0.523,2.7,4.7,0.576,,,8.9,1.8,,,3.3,11.6,Walt Bellamy,6-11
1970-71,31.0,ATL,NBA,C,82.0,,35.5,5.3,10.7,0.493,4.1,6.8,0.604,,,12.9,2.8,,,3.3,14.7,Walt Bellamy,6-11
1971-72,32.0,ATL,NBA,C,82.0,,38.9,7.2,13.3,0.545,4.1,7.1,0.585,,,12.8,3.2,,,3.1,18.6,Walt Bellamy,6-11
1972-73,33.0,ATL,NBA,C,74.0,,37.9,6.1,12.2,0.505,3.8,7.1,0.538,,,13.0,2.4,,,3.3,16.1,Walt Bellamy,6-11
1973-74,34.0,ATL,NBA,C,77.0,,31.7,5.1,10.4,0.486,3.0,5.0,0.608,3.4,6.2,9.6,2.5,0.7,0.6,3.0,13.1,Walt Bellamy,6-11
1974-75,35.0,NOJ,NBA,C,1.0,,14.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,2.0,6.0,Walt Bellamy,6-11
