Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Ht
2003-04,23.0,WAS,NBA,G,75,14,18.6,2.1,5.4,.386,1.0,2.7,.371,1.1,2.7,.400,.478,0.7,0.9,.821,0.2,1.3,1.6,2.8,0.8,0.1,1.7,1.3,5.9,Steve Blake,6-3
2004-05,24.0,WAS,NBA,G,44,1,14.7,1.4,4.2,.328,0.8,2.1,.387,0.6,2.1,.269,.425,0.8,0.9,.805,0.4,1.2,1.6,1.6,0.3,0.0,0.9,1.1,4.3,Steve Blake,6-3
2005-06,25.0,POR,NBA,G,68,57,26.2,3.0,6.9,.438,1.1,2.7,.413,1.9,4.2,.455,.519,1.1,1.3,.791,0.4,1.8,2.1,4.5,0.6,0.1,1.2,1.6,8.2,Steve Blake,6-3
2006-07,26.0,TOT,NBA,G,82,42,27.1,2.5,6.2,.411,0.8,2.5,.322,1.7,3.7,.472,.476,0.5,0.8,.672,0.3,1.8,2.1,5.0,0.7,0.1,1.6,1.5,6.4,Steve Blake,6-3
2007-08,27.0,POR,NBA,G,81,78,29.9,3.2,7.9,.408,1.5,3.7,.406,1.7,4.2,.409,.502,0.6,0.8,.766,0.4,2.0,2.4,5.1,0.7,0.0,1.4,1.6,8.5,Steve Blake,6-3
2008-09,28.0,POR,NBA,G,69,69,31.7,4.0,9.4,.428,2.0,4.8,.427,2.0,4.6,.429,.536,0.9,1.1,.840,0.4,2.1,2.5,5.0,1.0,0.1,1.6,1.8,11.0,Steve Blake,6-3
2009-10,29.0,TOT,NBA,G,80,38,27.0,2.7,6.5,.416,1.5,3.7,.395,1.3,2.9,.443,.527,0.5,0.6,.750,0.3,2.1,2.3,4.8,0.7,0.1,1.6,1.5,7.3,Steve Blake,6-3
2010-11,30.0,LAL,NBA,G,79,0,20.0,1.4,3.9,.359,0.9,2.4,.378,0.5,1.4,.327,.479,0.3,0.4,.867,0.2,1.7,2.0,2.2,0.5,0.0,0.9,1.3,4.0,Steve Blake,6-3
2011-12,31.0,LAL,NBA,G,53,5,23.3,1.9,5.1,.377,1.0,3.0,.335,0.9,2.1,.436,.476,0.4,0.5,.778,0.2,1.4,1.6,3.3,0.7,0.0,1.4,1.4,5.2,Steve Blake,6-3
2012-13,32.0,LAL,NBA,G,45,13,26.1,2.5,6.0,.422,1.6,3.8,.421,0.9,2.2,.424,.556,0.6,0.8,.771,0.5,2.5,2.9,3.8,0.8,0.1,1.4,1.8,7.3,Steve Blake,6-3
2013-14,33.0,TOT,NBA,G,55,28,27.2,2.4,6.4,.377,1.4,3.8,.376,1.0,2.6,.378,.489,0.6,0.8,.767,0.2,2.7,2.9,5.6,1.0,0.1,1.9,1.5,6.9,Steve Blake,6-3
2014-15,34.0,POR,NBA,G,81,0,18.9,1.5,4.0,.373,1.0,2.7,.352,0.6,1.3,.417,.491,0.4,0.5,.707,0.2,1.5,1.7,3.6,0.5,0.1,1.3,1.5,4.3,Steve Blake,6-3
2015-16,35.0,DET,NBA,G,58,2,17.0,1.6,4.1,.388,0.9,2.6,.344,0.7,1.5,.461,.496,0.3,0.3,.800,0.2,1.4,1.5,3.4,0.4,0.1,1.4,1.2,4.4,Steve Blake,6-3
