Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Ht
1999-00,24.0,DEN,NBA,F,52,0,11.3,0.9,2.3,.393,0.0,0.2,.111,0.9,2.1,.417,.397,0.7,1.0,.717,1.4,0.8,2.2,0.4,0.8,0.3,0.3,1.8,2.5,Ryan Bowen,6-7
2000-01,25.0,DEN,NBA,F,57,0,12.2,1.4,2.5,.556,0.1,0.2,.364,1.3,2.3,.571,.569,0.5,0.8,.614,1.1,0.9,2.0,0.5,0.6,0.2,0.4,1.7,3.4,Ryan Bowen,6-7
2001-02,26.0,DEN,NBA,F,75,21,22.5,2.0,4.1,.479,0.0,0.2,.083,1.9,3.9,.495,.480,0.9,1.2,.750,1.8,2.2,4.0,0.7,1.0,0.5,0.5,2.3,4.9,Ryan Bowen,6-7
2002-03,27.0,DEN,NBA,F,62,31,16.1,1.6,3.2,.492,0.0,0.1,.286,1.5,3.1,.500,.497,0.4,0.7,.659,1.3,1.3,2.5,0.9,1.0,0.5,0.7,1.3,3.6,Ryan Bowen,6-7
2003-04,28.0,DEN,NBA,F,52,1,7.5,0.3,1.0,.340,0.0,0.0,,0.3,1.0,.340,.340,0.2,0.2,.833,0.8,0.9,1.7,0.3,0.3,0.3,0.1,0.9,0.9,Ryan Bowen,6-7
2004-05,29.0,HOU,NBA,F,66,6,9.2,0.7,1.7,.423,0.0,0.1,.500,0.7,1.6,.419,.437,0.2,0.3,.667,0.3,0.8,1.2,0.3,0.3,0.1,0.1,0.9,1.7,Ryan Bowen,6-7
2005-06,30.0,HOU,NBA,F,68,19,9.6,0.5,1.8,.298,0.0,0.3,.136,0.5,1.5,.333,.310,0.2,0.2,.786,0.5,0.8,1.3,0.4,0.3,0.1,0.2,1.3,1.3,Ryan Bowen,6-7
2007-08,32.0,NOH,NBA,F,53,4,12.5,0.9,1.9,.490,0.0,0.0,.000,0.9,1.9,.495,.490,0.3,0.5,.552,1.0,0.8,1.9,0.5,0.6,0.2,0.3,1.5,2.2,Ryan Bowen,6-7
2008-09,33.0,NOH,NBA,F,21,3,10.4,1.0,1.8,.579,0.0,0.0,,1.0,1.8,.579,.579,0.1,0.2,.600,0.5,0.7,1.1,0.4,0.7,0.2,0.2,1.8,2.2,Ryan Bowen,6-7
2009-10,34.0,OKC,NBA,F,1,0,8.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,2.0,2.0,1.000,1.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,4.0,Ryan Bowen,6-7
