Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Ht
1998-99,22.0,TOT,NBA,G,22,0,10.0,1.4,3.6,.380,0.1,0.8,.167,1.2,2.8,.443,.399,0.1,0.1,.667,0.3,0.5,0.8,1.5,0.3,0.0,0.9,0.9,3.0,Earl Boykins,5-5
1999-00,23.0,TOT,NBA,G,26,0,10.0,2.2,4.5,.483,0.3,0.8,.400,1.8,3.7,.500,.517,0.7,0.9,.783,0.5,0.5,1.0,1.8,0.5,0.0,0.7,0.9,5.3,Earl Boykins,5-5
2000-01,24.0,LAC,NBA,G,10,0,14.9,2.5,6.3,.397,0.1,0.8,.125,2.4,5.5,.436,.405,1.4,1.7,.824,0.4,0.7,1.1,3.2,0.5,0.0,0.9,0.9,6.5,Earl Boykins,5-5
2001-02,25.0,LAC,NBA,G,68,2,11.2,1.6,4.0,.400,0.2,0.6,.310,1.4,3.4,.416,.424,0.7,0.9,.770,0.4,0.4,0.8,2.1,0.3,0.0,0.6,0.6,4.1,Earl Boykins,5-5
2002-03,26.0,GSW,NBA,G,68,0,19.4,2.9,6.8,.429,0.4,1.1,.377,2.5,5.7,.439,.460,2.5,2.9,.865,0.5,0.8,1.3,3.3,0.6,0.1,1.1,1.1,8.8,Earl Boykins,5-5
2003-04,27.0,DEN,NBA,G,82,3,22.5,3.9,9.3,.419,0.7,2.1,.322,3.2,7.3,.447,.455,1.7,2.0,.877,0.5,1.2,1.7,3.6,0.6,0.0,1.2,1.0,10.2,Earl Boykins,5-5
2004-05,28.0,DEN,NBA,G,82,5,26.4,4.1,10.0,.413,0.7,2.0,.337,3.5,8.0,.432,.447,3.4,3.7,.921,0.5,1.3,1.7,4.5,1.0,0.1,1.5,1.5,12.4,Earl Boykins,5-5
2005-06,29.0,DEN,NBA,G,60,0,25.7,4.5,11.0,.410,1.0,3.0,.346,3.5,8.0,.434,.457,2.5,2.9,.874,0.4,1.0,1.4,3.8,0.8,0.1,1.4,1.2,12.6,Earl Boykins,5-5
2006-07,30.0,TOT,NBA,G,66,23,30.8,4.9,11.7,.420,1.4,3.6,.397,3.5,8.0,.430,.482,3.3,3.7,.898,0.7,1.4,2.1,4.4,0.8,0.0,1.8,1.4,14.6,Earl Boykins,5-5
2007-08,31.0,CHA,NBA,G,36,0,16.0,1.7,4.8,.355,0.4,1.2,.318,1.3,3.6,.367,.395,1.4,1.6,.831,0.3,0.7,0.9,2.7,0.4,0.0,1.1,0.6,5.1,Earl Boykins,5-5
2009-10,33.0,WAS,NBA,G,67,1,16.7,2.6,6.0,.427,0.3,0.9,.317,2.3,5.1,.446,.450,1.1,1.3,.865,0.3,0.9,1.1,2.6,0.4,0.0,1.0,0.7,6.6,Earl Boykins,5-5
2010-11,34.0,MIL,NBA,G,57,0,15.1,2.7,6.2,.443,0.5,1.2,.380,2.3,4.9,.459,.482,1.2,1.4,.841,0.3,0.7,1.0,2.5,0.7,0.1,0.9,0.8,7.2,Earl Boykins,5-5
2011-12,35.0,HOU,NBA,G,8,0,13.9,1.5,4.5,.333,0.3,1.1,.222,1.3,3.4,.370,.361,1.6,1.9,.867,0.0,1.4,1.4,2.1,0.1,0.0,0.9,0.6,4.9,Earl Boykins,5-5
