Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Player,Ht
1967-68,24.0,NYK,NBA,G,45,,19.4,3.2,7.6,.416,1.7,2.3,.731,,,2.5,3.0,,,3.1,8.0,Bill Bradley,5-11
1968-69,25.0,NYK,NBA,G,82,,29.4,5.0,11.6,.429,2.5,3.1,.814,,,4.3,3.7,,,3.6,12.4,Bill Bradley,5-11
1969-70,26.0,NYK,NBA,G,67,,31.3,6.2,13.4,.460,2.2,2.6,.824,,,3.6,4.0,,,3.3,14.5,Bill Bradley,5-11
1970-71,27.0,NYK,NBA,G,78,,29.5,5.3,11.7,.453,1.8,2.2,.823,,,3.3,3.6,,,3.1,12.4,Bill Bradley,5-11
1971-72,28.0,NYK,NBA,G,78,,35.6,6.5,13.9,.465,2.2,2.6,.849,,,3.2,4.0,,,3.3,15.1,Bill Bradley,5-11
1972-73,29.0,NYK,NBA,G,82,,36.6,7.0,15.3,.459,2.1,2.4,.871,,,3.7,4.5,,,3.3,16.1,Bill Bradley,5-11
1973-74,30.0,NYK,NBA,G,82,,34.3,6.1,13.6,.451,1.8,2.0,.874,0.7,2.4,3.1,3.0,0.5,0.3,3.4,14.0,Bill Bradley,5-11
1974-75,31.0,NYK,NBA,G,79,,35.3,5.7,13.1,.436,1.8,2.1,.873,0.8,2.4,3.2,3.1,0.9,0.2,3.6,13.3,Bill Bradley,5-11
1975-76,32.0,NYK,NBA,G,82,,33.0,4.8,11.0,.433,1.6,1.8,.878,0.6,2.3,2.9,3.0,0.8,0.2,3.1,11.1,Bill Bradley,5-11
1976-77,33.0,NYK,NBA,G,67,,15.3,1.9,4.1,.464,0.5,0.6,.810,0.4,1.1,1.5,1.9,0.4,0.1,1.8,4.3,Bill Bradley,5-11
