Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Ht
2013-14,22.0,LAC,NBA,G-F,43.0,0.0,9.2,1.0,2.8,0.355,0.5,1.7,0.301,0.5,1.1,0.438,0.446,0.2,0.2,0.778,0.3,1.0,1.3,0.3,0.2,0.0,0.3,0.6,2.7,Reggie Bullock,6-6
2014-15,23.0,TOT,NBA,G-F,36.0,2.0,9.4,0.7,1.9,0.343,0.4,1.3,0.326,0.3,0.7,0.375,0.45,0.2,0.3,0.667,0.0,1.4,1.4,0.2,0.3,0.1,0.2,0.5,1.9,Reggie Bullock,6-6
2015-16,24.0,DET,NBA,G-F,37.0,0.0,11.6,1.2,2.6,0.439,0.6,1.4,0.415,0.6,1.2,0.467,0.551,0.4,0.4,0.933,0.4,1.5,1.8,0.7,0.3,0.1,0.2,0.8,3.3,Reggie Bullock,6-6
2016-17,25.0,DET,NBA,G-F,31.0,5.0,15.1,1.7,4.1,0.422,0.9,2.4,0.384,0.8,1.8,0.473,0.531,0.2,0.2,0.714,0.4,1.6,2.1,0.9,0.6,0.1,0.3,0.7,4.5,Reggie Bullock,6-6
2017-18,26.0,DET,NBA,G-F,62.0,52.0,27.9,4.3,8.8,0.489,2.0,4.5,0.445,2.3,4.3,0.536,0.603,0.6,0.8,0.796,0.4,2.0,2.5,1.5,0.8,0.2,0.8,1.1,11.3,Reggie Bullock,6-6
2018-19,27.0,TOT,NBA,G-F,63.0,60.0,29.8,3.9,9.4,0.412,2.3,6.2,0.377,1.5,3.2,0.483,0.537,1.2,1.3,0.859,0.3,2.4,2.7,2.0,0.6,0.2,1.0,1.7,11.3,Reggie Bullock,6-6
2019-20,28.0,NYK,NBA,G-F,29.0,19.0,23.6,3.1,7.7,0.402,1.3,3.8,0.333,1.8,3.9,0.469,0.484,0.6,0.7,0.81,0.4,1.9,2.3,1.4,0.9,0.1,0.7,1.9,8.1,Reggie Bullock,6-6
2020-21,29.0,NYK,NBA,G-F,65.0,64.0,30.0,3.8,8.6,0.442,2.5,6.1,0.41,1.3,2.5,0.521,0.587,0.8,0.8,0.909,0.2,3.2,3.4,1.5,0.8,0.2,0.7,2.2,10.9,Reggie Bullock,6-6
2021-22,30.0,DAL,NBA,G-F,68.0,37.0,28.0,3.0,7.4,0.401,2.1,5.8,0.36,0.9,1.6,0.55,0.542,0.6,0.7,0.833,0.5,3.1,3.5,1.2,0.6,0.2,0.6,1.6,8.6,Reggie Bullock,6-6
2022-23,31.0,DAL,NBA,G-F,72.0,49.0,30.8,2.5,6.0,0.41,2.0,5.1,0.387,0.5,0.9,0.537,0.574,0.4,0.5,0.703,0.4,3.2,3.7,1.4,0.7,0.2,0.4,2.2,7.3,Reggie Bullock,6-6
