Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Ht
1964-65,23.0,DET,NBA,F-G,66,,23.4,4.4,11.8,.374,,,,4.4,11.8,.374,.374,2.0,3.2,.614,,,6.7,1.8,,,,2.6,10.7,Joe Caldwell,6-5
1965-66,24.0,TOT,NBA,F-G,79,,23.5,5.2,11.9,.438,,,,5.2,11.9,.438,.438,2.3,3.2,.705,,,5.5,1.6,,,,2.6,12.7,Joe Caldwell,6-5
1966-67,25.0,STL,NBA,F-G,81,,27.9,5.7,13.3,.426,,,,5.7,13.3,.426,.426,2.5,3.8,.649,,,5.5,2.0,,,,2.8,13.8,Joe Caldwell,6-5
1967-68,26.0,STL,NBA,F-G,79,,33.4,7.1,15.4,.463,,,,7.1,15.4,.463,.463,2.1,3.7,.569,,,4.3,3.0,,,,2.6,16.4,Joe Caldwell,6-5
1968-69,27.0,ATL,NBA,F-G,81,,33.6,6.9,13.7,.507,,,,6.9,13.7,.507,.507,2.0,3.7,.537,,,3.7,4.0,,,,2.9,15.8,Joe Caldwell,6-5
1969-70,28.0,ATL,NBA,F-G,82,,34.8,8.2,16.2,.507,,,,8.2,16.2,.507,.507,4.6,6.7,.688,,,5.0,3.5,,,,3.1,21.1,Joe Caldwell,6-5
1970-71,29.0,CAR,ABA,F-G,72,,41.8,9.5,21.2,.448,0.1,0.4,.200,9.4,20.8,.453,.450,4.2,7.5,.558,3.0,3.8,6.8,4.2,,,3.5,3.3,23.3,Joe Caldwell,6-5
1971-72,30.0,CAR,ABA,F-G,61,,35.2,7.1,15.1,.471,0.1,0.3,.250,7.0,14.8,.476,.473,2.6,5.2,.500,2.6,3.0,5.6,4.2,,,2.7,3.4,16.9,Joe Caldwell,6-5
1972-73,31.0,CAR,ABA,F-G,77,,35.6,7.2,14.5,.496,0.0,0.1,.167,7.2,14.4,.498,.497,2.2,5.3,.425,2.5,2.7,5.1,4.6,2.2,,3.2,3.3,16.7,Joe Caldwell,6-5
1973-74,32.0,CAR,ABA,F-G,79,,33.6,6.4,13.0,.489,0.0,0.2,.176,6.3,12.8,.494,.490,1.6,3.3,.496,2.2,3.0,5.2,4.4,2.2,0.4,3.1,3.2,14.4,Joe Caldwell,6-5
1974-75,33.0,SSL,ABA,F-G,25,,33.6,6.4,13.0,.494,0.1,0.3,.429,6.3,12.8,.495,.498,1.6,3.5,.448,1.8,2.7,4.4,5.1,2.0,0.4,3.0,3.1,14.6,Joe Caldwell,6-5
