Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Ht
1969-70,22.0,LAS,ABA,G,84,,35.2,5.3,12.5,.421,0.0,0.3,.120,5.2,12.2,.429,.423,6.3,7.6,.824,1.1,2.4,3.5,5.7,,,3.1,3.4,16.8,Mack Calvin,6-0
1970-71,23.0,FLO,ABA,G,81,,41.9,9.2,21.3,.431,0.2,0.7,.288,9.0,20.6,.436,.435,8.6,9.9,.865,1.3,2.2,3.5,7.6,,,4.4,3.2,27.2,Mack Calvin,6-0
1971-72,24.0,FLO,ABA,G,82,,36.3,6.7,15.3,.441,0.1,0.6,.229,6.6,14.7,.449,.445,7.5,8.5,.872,1.4,1.9,3.3,5.9,,,3.2,3.3,21.0,Mack Calvin,6-0
1972-73,25.0,CAR,ABA,G,84,,26.5,5.7,11.2,.506,0.1,0.3,.393,5.6,10.9,.510,.512,6.0,6.9,.859,1.2,1.4,2.6,3.6,,,2.9,2.6,17.5,Mack Calvin,6-0
1973-74,26.0,CAR,ABA,G,83,,31.2,6.0,13.0,.462,0.1,0.5,.233,5.9,12.5,.471,.467,5.9,6.7,.875,0.9,2.0,2.9,4.2,1.6,0.1,2.8,2.9,18.0,Mack Calvin,6-0
1974-75,27.0,DNA,ABA,G,74,,33.3,6.5,13.5,.485,0.0,0.2,.188,6.5,13.2,.490,.486,6.4,7.2,.896,0.5,2.4,2.8,7.7,1.9,0.1,3.8,2.8,19.5,Mack Calvin,6-0
1975-76,28.0,VIR,ABA,G,45,,36.8,6.8,15.9,.427,0.2,0.6,.269,6.6,15.4,.433,.432,5.6,6.3,.888,0.8,2.0,2.8,6.0,1.6,0.0,4.3,2.7,19.4,Mack Calvin,6-0
1976-77,29.0,TOT,NBA,G,76,,18.9,2.9,7.2,.404,,,,2.9,7.2,.404,.404,3.8,4.4,.849,0.5,0.8,1.3,3.2,0.8,0.0,,1.7,9.6,Mack Calvin,6-0
1977-78,30.0,DEN,NBA,G,77,,12.8,1.9,4.3,.441,,,,1.9,4.3,.441,.441,2.2,2.7,.840,0.1,0.9,1.1,1.9,0.6,0.1,1.4,1.1,6.1,Mack Calvin,6-0
1979-80,32.0,UTA,NBA,G,48,,16.1,2.1,4.7,.441,0.0,0.2,.091,2.1,4.5,.458,.443,2.2,2.4,.897,0.3,1.5,1.8,2.8,0.6,0.0,1.2,1.5,6.4,Mack Calvin,6-0
1980-81,33.0,CLE,NBA,G,21,,6.1,0.6,1.9,.333,0.0,0.2,.200,0.6,1.6,.353,.346,1.2,1.7,.714,0.1,0.5,0.6,1.3,0.2,0.0,0.8,0.6,2.5,Mack Calvin,6-0
