Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Ht
1977-78,22.0,LAL,NBA,F,52.0,,14.1,2.6,5.8,0.444,,,,2.6,5.8,0.444,0.444,1.1,1.6,0.647,1.0,3.0,4.0,0.5,0.3,0.3,1.7,2.4,6.2,Kenny Carr,6-7
1978-79,23.0,LAL,NBA,F,72.0,,16.0,3.1,6.3,0.5,,,,3.1,6.3,0.5,0.5,1.2,1.9,0.606,1.0,3.1,4.1,0.8,0.5,0.4,1.6,2.1,7.4,Kenny Carr,6-7
1979-80,24.0,TOT,NBA,F,79.0,,23.3,4.8,9.7,0.492,0.0,0.1,0.0,4.8,9.7,0.495,0.492,2.2,3.3,0.658,2.5,4.9,7.4,1.0,0.8,0.7,1.9,3.1,11.8,Kenny Carr,6-7
1980-81,25.0,CLE,NBA,F,81.0,,32.3,5.8,11.3,0.511,0.0,0.0,0.0,5.8,11.3,0.513,0.511,3.6,5.0,0.714,3.2,7.1,10.3,2.4,0.9,0.5,2.9,3.7,15.2,Kenny Carr,6-7
1981-82,26.0,TOT,NBA,F,74.0,48.0,26.0,4.7,9.4,0.503,0.0,0.1,0.1,4.7,9.2,0.509,0.504,2.7,4.1,0.656,2.3,4.9,7.2,1.2,0.9,0.3,2.1,3.4,12.1,Kenny Carr,6-7
1982-83,27.0,POR,NBA,F,82.0,26.0,28.4,4.4,8.7,0.505,0.0,0.1,0.333,4.4,8.7,0.506,0.506,3.1,4.5,0.697,2.2,5.0,7.2,1.4,0.8,0.5,2.3,3.7,12.0,Kenny Carr,6-7
1983-84,28.0,POR,NBA,F,82.0,57.0,29.9,6.3,11.3,0.561,0.0,0.1,0.0,6.3,11.2,0.564,0.561,3.0,4.5,0.673,2.5,5.3,7.8,1.9,0.8,0.4,2.5,3.3,15.6,Kenny Carr,6-7
1984-85,29.0,POR,NBA,F,48.0,30.0,23.3,4.0,7.6,0.523,0.0,0.1,0.0,4.0,7.5,0.528,0.523,2.5,3.4,0.72,1.9,4.9,6.7,1.2,0.5,0.4,2.1,2.9,10.4,Kenny Carr,6-7
1985-86,30.0,POR,NBA,F,55.0,31.0,28.3,4.2,8.5,0.498,0.0,0.1,0.0,4.2,8.4,0.502,0.498,2.7,3.9,0.687,2.7,6.3,8.9,1.3,0.7,0.5,1.9,3.7,11.1,Kenny Carr,6-7
1986-87,31.0,POR,NBA,F,49.0,43.0,29.4,4.1,8.1,0.504,0.0,0.0,0.0,4.1,8.1,0.506,0.504,2.6,3.4,0.746,2.7,7.5,10.2,1.7,0.6,0.3,2.1,3.2,10.8,Kenny Carr,6-7
