Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Ht
1985-86,23.0,SAS,NBA,G-F,16.0,0.0,10.9,1.7,4.0,0.422,0.0,0.1,0.0,1.7,3.9,0.429,0.422,0.6,0.9,0.714,0.7,0.9,1.6,0.7,0.7,0.1,0.8,1.3,4.0,Tyrone Corbin,6-6
1986-87,24.0,TOT,NBA,G-F,63.0,15.0,18.6,2.5,6.0,0.409,0.0,0.1,0.25,2.5,6.0,0.411,0.411,1.4,2.0,0.734,1.4,2.0,3.4,1.5,0.9,0.1,1.0,2.0,6.4,Tyrone Corbin,6-6
1987-88,25.0,TOT,NBA,G-F,84.0,5.0,20.7,3.1,6.3,0.49,0.0,0.1,0.167,3.0,6.2,0.493,0.49,1.3,1.6,0.797,1.5,2.7,4.2,1.4,0.9,0.2,1.2,2.2,7.4,Tyrone Corbin,6-6
1988-89,26.0,PHO,NBA,G-F,77.0,30.0,21.5,3.2,5.9,0.54,0.0,0.0,0.0,3.2,5.9,0.542,0.54,1.8,2.3,0.788,2.3,2.9,5.2,1.5,1.1,0.2,1.2,2.9,8.2,Tyrone Corbin,6-6
1989-90,27.0,MIN,NBA,G-F,82.0,80.0,36.7,6.4,13.2,0.481,0.0,0.1,0.0,6.4,13.1,0.486,0.481,2.0,2.5,0.77,2.7,4.7,7.4,2.6,2.1,0.5,1.7,3.5,14.7,Tyrone Corbin,6-6
1990-91,28.0,MIN,NBA,G-F,82.0,82.0,39.0,7.2,16.0,0.448,0.0,0.1,0.2,7.1,15.9,0.45,0.449,3.6,4.5,0.798,2.3,4.9,7.2,4.2,2.0,0.6,2.5,3.1,18.0,Tyrone Corbin,6-6
1991-92,29.0,TOT,NBA,G-F,80.0,9.0,27.6,3.8,7.9,0.481,0.0,0.1,0.0,3.8,7.8,0.484,0.481,2.2,2.5,0.866,2.0,3.9,5.9,1.8,1.0,0.3,1.2,2.4,9.8,Tyrone Corbin,6-6
1992-93,30.0,UTA,NBA,G-F,82.0,58.0,31.2,4.7,9.3,0.503,0.0,0.1,0.0,4.7,9.3,0.506,0.503,2.2,2.7,0.826,2.4,4.0,6.3,2.1,1.3,0.4,1.3,3.1,11.6,Tyrone Corbin,6-6
1993-94,31.0,UTA,NBA,G-F,82.0,17.0,26.2,3.3,7.2,0.456,0.1,0.4,0.207,3.2,6.8,0.469,0.461,1.4,1.8,0.813,1.8,2.9,4.7,1.5,1.2,0.3,1.1,2.6,8.0,Tyrone Corbin,6-6
1994-95,32.0,ATL,NBA,G-F,81.0,4.0,17.1,2.5,5.7,0.442,0.2,0.7,0.25,2.4,5.0,0.468,0.457,1.0,1.4,0.684,1.2,2.0,3.2,0.8,0.7,0.2,0.9,2.0,6.2,Tyrone Corbin,6-6
1995-96,33.0,TOT,NBA,G-F,71.0,2.0,18.1,2.2,4.9,0.442,0.0,0.3,0.167,2.1,4.7,0.456,0.446,1.4,1.7,0.833,1.1,2.3,3.4,1.2,0.9,0.3,0.9,2.1,5.8,Tyrone Corbin,6-6
1996-97,34.0,ATL,NBA,G-F,70.0,65.0,32.9,3.6,8.6,0.422,1.1,3.0,0.356,2.6,5.6,0.457,0.483,1.2,1.5,0.796,1.1,3.1,4.2,1.8,1.3,0.1,1.2,2.5,9.5,Tyrone Corbin,6-6
1997-98,35.0,ATL,NBA,G-F,79.0,79.0,34.2,4.2,9.5,0.439,0.6,1.8,0.348,3.5,7.7,0.46,0.472,1.3,1.6,0.789,1.0,3.6,4.6,2.2,1.3,0.1,1.1,2.5,10.2,Tyrone Corbin,6-6
1998-99,36.0,ATL,NBA,G-F,47.0,6.0,22.7,2.8,7.1,0.391,0.8,2.5,0.319,2.0,4.6,0.431,0.448,1.1,1.7,0.65,0.8,2.3,3.1,0.9,0.7,0.1,0.9,1.6,7.5,Tyrone Corbin,6-6
1999-00,37.0,SAC,NBA,G-F,54.0,5.0,17.4,1.6,4.6,0.356,0.2,0.8,0.227,1.4,3.8,0.384,0.377,0.6,0.7,0.846,0.7,2.3,3.1,1.1,0.7,0.1,0.5,1.8,4.1,Tyrone Corbin,6-6
2000-01,38.0,TOR,NBA,G-F,15.0,1.0,7.8,0.6,2.5,0.237,0.0,0.3,0.0,0.6,2.2,0.273,0.237,0.1,0.3,0.5,0.2,0.7,0.9,0.3,0.1,0.0,0.2,1.2,1.3,Tyrone Corbin,6-6
