Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Player,Ht
1958-59,21.0,STL,NBA,F,2.0,,3.5,0.5,0.5,1.0,0.0,0.0,,1.0,0.0,1.0,1.0,Dave Gambee,6-6
1959-60,22.0,TOT,NBA,F,61.0,,10.8,1.9,4.8,0.402,1.1,1.7,0.651,3.8,0.6,1.4,5.0,Dave Gambee,6-6
1960-61,23.0,SYR,NBA,F,79.0,,26.5,5.0,12.0,0.419,3.7,4.5,0.827,7.4,1.3,3.5,13.7,Dave Gambee,6-6
1961-62,24.0,SYR,NBA,F,80.0,,28.8,6.0,14.1,0.424,4.8,5.9,0.817,7.9,1.4,3.4,16.7,Dave Gambee,6-6
1962-63,25.0,SYR,NBA,F,60.0,,20.6,3.9,9.0,0.438,3.3,4.0,0.836,4.8,0.8,3.2,11.2,Dave Gambee,6-6
1963-64,26.0,PHI,NBA,F,41.0,,22.6,3.6,9.2,0.394,3.7,4.5,0.816,6.2,0.9,3.9,11.0,Dave Gambee,6-6
1964-65,27.0,PHI,NBA,F,80.0,,24.9,4.5,10.8,0.412,3.7,4.6,0.813,5.9,1.4,3.5,12.6,Dave Gambee,6-6
1965-66,28.0,PHI,NBA,F,72.0,,14.8,2.3,6.1,0.384,2.2,2.6,0.85,3.8,1.0,2.6,6.9,Dave Gambee,6-6
1966-67,29.0,PHI,NBA,F,63.0,,12.0,2.4,5.5,0.435,1.7,2.0,0.856,3.1,0.7,2.3,6.5,Dave Gambee,6-6
1967-68,30.0,SDR,NBA,F,80.0,,21.9,4.7,10.7,0.44,4.0,4.7,0.847,5.8,1.2,3.2,13.4,Dave Gambee,6-6
1968-69,31.0,TOT,NBA,F,59.0,,15.7,3.6,7.9,0.452,2.7,3.3,0.815,4.4,0.8,2.7,9.8,Dave Gambee,6-6
1969-70,32.0,SFW,NBA,F,73.0,,13.0,2.5,6.4,0.399,2.1,2.5,0.839,3.3,0.8,2.4,7.2,Dave Gambee,6-6
