Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Ht
1987-88,23.0,PHO,NBA,F-C,55.0,53.0,32.9,6.2,13.1,0.475,0.0,0.0,,6.2,13.1,0.475,0.475,2.4,3.5,0.679,2.4,5.5,7.9,1.3,1.1,0.5,2.2,2.6,14.8,Armen Gilliam,6-9
1988-89,24.0,PHO,NBA,F-C,74.0,60.0,28.6,6.3,12.6,0.503,0.0,0.0,,6.3,12.6,0.503,0.503,3.2,4.4,0.743,2.2,5.1,7.3,0.7,0.7,0.4,1.9,2.4,15.9,Armen Gilliam,6-9
1989-90,25.0,TOT,NBA,F-C,76.0,66.0,31.9,6.4,12.4,0.515,0.0,0.0,0.0,6.4,12.3,0.516,0.515,4.0,5.5,0.723,2.8,5.1,7.9,1.3,0.9,0.7,2.4,2.8,16.7,Armen Gilliam,6-9
1990-91,26.0,TOT,NBA,F-C,75.0,75.0,35.3,6.5,13.3,0.487,0.0,0.0,0.0,6.5,13.3,0.487,0.487,3.6,4.4,0.815,2.9,5.0,8.0,1.4,0.9,0.7,2.3,2.5,16.6,Armen Gilliam,6-9
1991-92,27.0,PHI,NBA,F-C,81.0,81.0,34.2,6.3,12.4,0.511,0.0,0.0,0.0,6.3,12.3,0.513,0.511,4.2,5.2,0.807,2.9,5.3,8.1,1.5,0.6,1.0,2.0,2.2,16.9,Armen Gilliam,6-9
1992-93,28.0,PHI,NBA,F-C,80.0,26.0,21.8,4.5,9.7,0.464,0.0,0.0,0.0,4.5,9.7,0.464,0.464,3.4,4.1,0.843,1.7,4.2,5.9,1.5,0.5,0.7,2.0,1.5,12.4,Armen Gilliam,6-9
1993-94,29.0,NJN,NBA,F-C,82.0,5.0,24.0,4.2,8.3,0.51,0.0,0.0,0.0,4.2,8.3,0.511,0.51,3.3,4.4,0.759,2.4,3.7,6.1,0.8,0.5,0.7,1.3,1.6,11.8,Armen Gilliam,6-9
1994-95,30.0,NJN,NBA,F-C,82.0,30.0,30.1,5.5,11.0,0.503,0.0,0.0,0.0,5.5,11.0,0.504,0.503,3.7,4.8,0.77,2.3,5.1,7.5,1.2,0.8,1.1,1.9,2.1,14.8,Armen Gilliam,6-9
1995-96,31.0,NJN,NBA,F-C,78.0,76.0,36.6,7.4,15.6,0.474,0.0,0.0,0.0,7.4,15.6,0.474,0.474,3.6,4.5,0.791,3.1,6.1,9.1,1.8,0.9,0.7,2.3,2.3,18.3,Armen Gilliam,6-9
1996-97,32.0,MIL,NBA,F-C,80.0,25.0,25.6,3.1,6.5,0.471,0.0,0.0,,3.1,6.5,0.471,0.471,2.5,3.2,0.768,1.7,4.5,6.2,0.7,0.8,0.5,1.3,2.6,8.6,Armen Gilliam,6-9
1997-98,33.0,MIL,NBA,F-C,82.0,25.0,25.8,4.0,8.2,0.484,0.0,0.0,0.0,4.0,8.2,0.487,0.484,3.3,4.1,0.802,1.8,3.6,5.4,1.3,0.8,0.5,1.8,2.2,11.2,Armen Gilliam,6-9
1998-99,34.0,MIL,NBA,F-C,34.0,5.0,19.6,3.0,6.6,0.453,0.0,0.0,0.0,3.0,6.5,0.455,0.453,2.3,3.0,0.782,1.0,2.7,3.7,0.6,0.6,0.4,1.1,1.4,8.3,Armen Gilliam,6-9
1999-00,35.0,UTA,NBA,F-C,50.0,0.0,15.6,2.7,6.1,0.436,0.0,0.0,0.0,2.7,6.1,0.438,0.436,1.3,1.7,0.779,1.4,2.7,4.2,0.8,0.2,0.3,1.1,1.7,6.7,Armen Gilliam,6-9
