Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Player,Ht
1959-60,26.0,NYK,NBA,F-C,69.0,,17.9,3.0,6.8,0.447,0.9,2.2,0.406,7.8,0.8,2.8,7.0,Johnny Green,6-5
1960-61,27.0,NYK,NBA,F-C,78.0,,22.9,4.2,9.7,0.43,1.9,3.6,0.522,10.7,1.2,2.5,10.2,Johnny Green,6-5
1961-62,28.0,NYK,NBA,F-C,80.0,,34.9,6.3,14.6,0.436,3.3,5.4,0.601,13.3,2.4,3.3,15.9,Johnny Green,6-5
1962-63,29.0,NYK,NBA,F-C,80.0,,31.9,7.3,15.8,0.462,3.5,5.5,0.638,12.1,1.9,3.0,18.1,Johnny Green,6-5
1963-64,30.0,NYK,NBA,F-C,80.0,,26.7,6.0,12.8,0.47,2.4,4.9,0.497,10.0,2.0,3.1,14.5,Johnny Green,6-5
1964-65,31.0,NYK,NBA,F-C,78.0,,22.1,4.4,9.4,0.469,2.1,3.9,0.548,7.0,1.7,2.5,11.0,Johnny Green,6-5
1965-66,32.0,TOT,NBA,F-C,79.0,,20.8,4.5,8.5,0.536,2.6,4.9,0.521,8.2,1.4,2.3,11.6,Johnny Green,6-5
1966-67,33.0,BAL,NBA,F-C,61.0,,15.5,3.3,7.2,0.465,1.6,3.4,0.464,6.5,0.9,2.3,8.2,Johnny Green,6-5
1967-68,34.0,TOT,NBA,F-C,77.0,,18.7,4.0,8.8,0.459,1.8,3.8,0.471,7.1,1.0,2.1,9.9,Johnny Green,6-5
1968-69,35.0,PHI,NBA,F-C,74.0,,10.7,2.0,3.8,0.518,0.8,1.7,0.456,4.5,0.6,1.5,4.7,Johnny Green,6-5
1969-70,36.0,CIN,NBA,F-C,78.0,,29.2,6.2,11.0,0.559,3.3,5.5,0.592,10.8,1.4,3.4,15.6,Johnny Green,6-5
1970-71,37.0,CIN,NBA,F-C,75.0,,28.6,6.7,11.4,0.587,3.3,5.4,0.617,8.7,1.2,3.1,16.7,Johnny Green,6-5
1971-72,38.0,CIN,NBA,F-C,82.0,,23.3,4.0,7.1,0.569,1.7,3.0,0.564,6.8,1.5,2.9,9.8,Johnny Green,6-5
1972-73,39.0,KCO,NBA,F-C,66.0,,18.9,2.9,4.8,0.599,1.3,2.0,0.679,5.5,0.9,2.8,7.1,Johnny Green,6-5
