Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Player,Ht
1964-65,22.0,CIN,NBA,F,61.0,,12.1,2.1,5.8,0.373,1.8,2.7,0.667,,,4.8,0.4,,,1.6,6.1,Happy Hairston,6-7
1965-66,23.0,CIN,NBA,F,72.0,,24.9,5.5,11.3,0.489,3.1,4.5,0.685,,,7.6,0.6,,,3.0,14.1,Happy Hairston,6-7
1966-67,24.0,CIN,NBA,F,79.0,,30.9,5.8,12.2,0.479,3.2,4.8,0.66,,,8.0,0.8,,,3.5,14.9,Happy Hairston,6-7
1967-68,25.0,TOT,NBA,F,74.0,,34.0,6.5,13.3,0.487,4.9,7.1,0.699,,,8.3,1.3,,,2.7,17.9,Happy Hairston,6-7
1968-69,26.0,DET,NBA,F,81.0,,35.7,6.5,14.0,0.469,5.0,6.8,0.731,,,11.8,1.3,,,3.1,18.1,Happy Hairston,6-7
1969-70,27.0,TOT,NBA,F,70.0,,34.7,6.9,13.9,0.496,4.7,5.9,0.789,,,11.1,1.7,,,3.3,18.5,Happy Hairston,6-7
1970-71,28.0,LAL,NBA,F,80.0,,36.5,7.2,15.4,0.466,4.2,5.4,0.782,,,10.0,2.1,,,3.2,18.6,Happy Hairston,6-7
1971-72,29.0,LAL,NBA,F,80.0,,34.4,4.6,10.0,0.461,3.9,5.0,0.779,,,13.1,2.4,,,3.1,13.1,Happy Hairston,6-7
1972-73,30.0,LAL,NBA,F,28.0,,33.5,5.6,11.7,0.482,5.0,6.4,0.787,,,13.2,2.4,,,2.8,16.3,Happy Hairston,6-7
1973-74,31.0,LAL,NBA,F,77.0,,34.2,5.0,9.9,0.507,4.5,5.8,0.771,4.4,9.2,13.5,2.7,0.8,0.2,3.4,14.5,Happy Hairston,6-7
1974-75,32.0,LAL,NBA,F,74.0,,30.9,3.7,7.2,0.506,2.9,3.7,0.801,4.1,8.7,12.8,2.3,0.7,0.1,2.9,10.3,Happy Hairston,6-7
