Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Ht
2013-14,21.0,NYK,NBA,G,81.0,1.0,23.1,3.6,8.5,0.428,1.6,4.4,0.363,2.0,4.1,0.498,0.523,1.3,1.6,0.828,0.2,1.3,1.5,0.8,0.5,0.1,0.6,1.8,10.2,Tim Hardaway Jr.,6-5
2014-15,22.0,NYK,NBA,G,70.0,30.0,24.0,4.0,10.2,0.389,1.7,5.1,0.342,2.3,5.2,0.435,0.474,1.8,2.2,0.801,0.2,2.1,2.2,1.8,0.3,0.2,1.2,1.7,11.5,Tim Hardaway Jr.,6-5
2015-16,23.0,ATL,NBA,G,51.0,1.0,16.9,2.2,5.2,0.43,0.9,2.8,0.338,1.3,2.4,0.537,0.521,1.0,1.1,0.893,0.1,1.5,1.7,1.0,0.4,0.1,0.5,0.9,6.4,Tim Hardaway Jr.,6-5
2016-17,24.0,ATL,NBA,G,79.0,30.0,27.3,5.3,11.5,0.455,1.9,5.3,0.357,3.4,6.3,0.537,0.537,2.1,2.7,0.766,0.4,2.4,2.8,2.3,0.7,0.2,1.3,1.3,14.5,Tim Hardaway Jr.,6-5
2017-18,25.0,NYK,NBA,G,57.0,54.0,33.1,6.3,15.0,0.421,2.3,7.2,0.317,4.0,7.8,0.516,0.496,2.6,3.1,0.816,0.6,3.4,3.9,2.7,1.1,0.2,1.6,2.2,17.5,Tim Hardaway Jr.,6-5
2018-19,26.0,TOT,NBA,G,65.0,63.0,31.6,6.0,15.3,0.393,2.5,7.3,0.34,3.5,7.9,0.442,0.474,3.6,4.2,0.841,0.5,2.9,3.4,2.4,0.8,0.1,1.6,2.2,18.1,Tim Hardaway Jr.,6-5
2019-20,27.0,DAL,NBA,G,71.0,58.0,29.5,5.4,12.5,0.434,2.9,7.2,0.398,2.5,5.2,0.485,0.55,2.1,2.6,0.819,0.4,2.9,3.3,1.9,0.6,0.1,1.0,1.8,15.8,Tim Hardaway Jr.,6-5
2020-21,28.0,DAL,NBA,G,70.0,31.0,28.4,5.8,13.0,0.447,3.0,7.6,0.391,2.9,5.5,0.524,0.56,2.0,2.5,0.816,0.3,3.0,3.3,1.8,0.4,0.2,0.9,1.6,16.6,Tim Hardaway Jr.,6-5
2021-22,29.0,DAL,NBA,G,42.0,20.0,29.6,5.0,12.6,0.394,2.4,7.2,0.336,2.5,5.4,0.473,0.491,1.9,2.5,0.757,0.3,3.4,3.7,2.2,0.9,0.1,0.8,1.8,14.2,Tim Hardaway Jr.,6-5
2022-23,30.0,DAL,NBA,G,66.0,40.0,30.3,4.7,12.0,0.39,2.9,7.8,0.375,1.7,4.2,0.418,0.513,1.7,2.3,0.767,0.3,3.3,3.6,1.7,0.7,0.2,0.8,1.6,14.0,Tim Hardaway Jr.,6-5
