Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Ht
1996-97,23.0,HOU,NBA,F-C,57.0,1.0,15.1,2.0,3.6,0.549,0.0,0.1,0.0,2.0,3.5,0.557,0.549,0.9,1.4,0.605,1.3,2.2,3.5,0.3,0.2,0.4,1.0,2.0,4.8,Othella Harrington,6-9
1997-98,24.0,HOU,NBA,F-C,58.0,3.0,15.6,2.2,4.6,0.485,0.0,0.0,0.0,2.2,4.6,0.487,0.485,1.6,2.1,0.754,1.3,2.3,3.6,0.4,0.2,0.5,0.8,1.9,6.0,Othella Harrington,6-9
1998-99,25.0,HOU,NBA,F-C,41.0,10.0,22.0,3.8,7.4,0.513,0.0,0.0,,3.8,7.4,0.513,0.513,2.1,3.0,0.721,1.8,4.2,6.0,0.4,0.1,0.6,1.5,2.5,9.8,Othella Harrington,6-9
1999-00,26.0,VAN,NBA,F-C,82.0,82.0,32.6,5.1,10.1,0.506,0.0,0.0,0.0,5.1,10.1,0.507,0.506,2.9,3.6,0.792,2.4,4.5,6.9,1.2,0.4,0.7,2.6,3.5,13.1,Othella Harrington,6-9
2000-01,27.0,TOT,NBA,F-C,74.0,45.0,24.5,3.3,6.9,0.487,0.0,0.0,0.0,3.3,6.8,0.49,0.487,2.3,3.0,0.763,1.9,3.4,5.2,0.8,0.5,0.6,2.0,3.2,9.0,Othella Harrington,6-9
2001-02,28.0,NYK,NBA,F-C,77.0,4.0,20.3,3.1,5.8,0.527,0.0,0.0,0.0,3.1,5.8,0.529,0.527,1.6,2.2,0.709,1.6,2.9,4.5,0.5,0.4,0.5,1.2,3.2,7.7,Othella Harrington,6-9
2002-03,29.0,NYK,NBA,F-C,74.0,64.0,25.0,3.0,6.0,0.508,0.0,0.0,,3.0,6.0,0.508,0.508,1.7,2.0,0.82,2.2,4.2,6.4,0.8,0.2,0.3,1.2,3.1,7.7,Othella Harrington,6-9
2003-04,30.0,NYK,NBA,F-C,56.0,3.0,15.6,1.8,3.6,0.495,0.0,0.0,,1.8,3.6,0.495,0.495,1.0,1.4,0.744,1.0,2.1,3.2,0.5,0.2,0.3,1.2,2.4,4.6,Othella Harrington,6-9
2004-05,31.0,CHI,NBA,F-C,70.0,28.0,18.2,3.1,6.1,0.512,0.0,0.0,,3.1,6.1,0.512,0.512,1.8,2.5,0.718,1.5,2.7,4.2,0.8,0.3,0.3,1.2,2.7,8.0,Othella Harrington,6-9
2005-06,32.0,CHI,NBA,F-C,72.0,23.0,11.4,1.9,3.8,0.495,0.0,0.0,,1.9,3.8,0.495,0.495,1.1,1.7,0.626,0.8,1.4,2.1,0.5,0.1,0.2,0.8,1.8,4.8,Othella Harrington,6-9
2006-07,33.0,CHA,NBA,F-C,26.0,0.0,8.5,1.0,2.2,0.446,0.0,0.0,,1.0,2.2,0.446,0.446,0.7,0.8,0.773,0.5,1.0,1.5,0.2,0.0,0.0,0.6,1.9,2.6,Othella Harrington,6-9
2007-08,34.0,CHA,NBA,F-C,22.0,0.0,7.5,0.8,1.9,0.429,0.0,0.0,,0.8,1.9,0.429,0.429,0.5,0.7,0.625,0.5,1.4,1.9,0.2,0.0,0.2,0.5,1.5,2.1,Othella Harrington,6-9
