Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Ht
1970-71,22.0,SEA,NBA,F,65.0,,15.8,2.3,6.1,0.381,,,,2.3,6.1,0.381,0.381,1.3,1.9,0.656,,,5.0,0.7,,,,1.9,5.9,Gar Heard,6-6
1971-72,23.0,SEA,NBA,F,58.0,,25.8,3.3,8.2,0.401,,,,3.3,8.2,0.401,0.401,1.4,2.2,0.617,,,7.6,0.9,,,,2.2,7.9,Gar Heard,6-6
1972-73,24.0,TOT,NBA,F,81.0,,19.2,4.3,10.2,0.425,,,,4.3,10.2,0.425,0.425,1.4,2.2,0.652,,,5.6,0.7,,,,2.1,10.1,Gar Heard,6-6
1973-74,25.0,BUF,NBA,F,81.0,,35.7,6.5,14.9,0.435,,,,6.5,14.9,0.435,0.435,2.4,3.6,0.65,3.3,8.4,11.7,2.2,1.7,2.8,,3.7,15.3,Gar Heard,6-6
1974-75,26.0,BUF,NBA,F,67.0,,32.1,4.7,12.2,0.388,,,,4.7,12.2,0.388,0.388,1.6,2.8,0.564,2.8,7.2,9.9,2.8,1.6,1.8,,3.6,11.1,Gar Heard,6-6
1975-76,27.0,TOT,NBA,F,86.0,,31.9,4.6,10.5,0.435,,,,4.6,10.5,0.435,0.435,1.8,2.9,0.637,2.9,7.2,10.1,2.2,1.4,1.1,,3.5,11.0,Gar Heard,6-6
1976-77,28.0,PHO,NBA,F,46.0,,29.6,3.8,9.9,0.379,,,,3.8,9.9,0.379,0.379,2.2,3.0,0.725,2.6,7.0,9.6,1.9,1.2,1.2,,3.0,9.7,Gar Heard,6-6
1977-78,29.0,PHO,NBA,F,80.0,,26.2,3.3,7.8,0.424,,,,3.3,7.8,0.424,0.424,1.1,1.8,0.612,2.1,6.1,8.2,1.7,1.6,1.3,1.5,2.7,7.8,Gar Heard,6-6
1978-79,30.0,PHO,NBA,F,63.0,,19.3,2.6,5.8,0.441,,,,2.6,5.8,0.441,0.441,1.1,1.6,0.689,1.6,4.0,5.6,1.0,0.8,0.9,1.0,2.2,6.3,Gar Heard,6-6
1979-80,31.0,PHO,NBA,F,82.0,,17.1,2.1,5.0,0.417,0.0,0.0,0.0,2.1,5.0,0.419,0.417,0.8,1.0,0.744,1.4,3.2,4.6,1.2,1.0,0.6,1.1,2.2,5.0,Gar Heard,6-6
1980-81,32.0,SDC,NBA,F,78.0,,20.9,1.9,5.1,0.376,0.0,0.1,0.0,1.9,5.0,0.383,0.376,1.0,1.3,0.782,1.5,2.9,4.5,1.6,1.3,0.9,1.0,2.5,4.8,Gar Heard,6-6
