Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Ht
1982-83,22.0,SDC,NBA,G,76,48,26.6,4.2,9.3,.452,0.3,1.2,.222,3.9,8.1,.485,.466,1.2,1.7,.723,0.7,0.9,1.6,3.6,1.1,0.1,2.1,2.5,9.9,Craig Hodges,6-2
1983-84,23.0,SDC,NBA,G,76,28,20.7,3.4,7.5,.450,0.1,0.6,.217,3.3,6.9,.471,.459,0.9,1.2,.750,0.3,0.8,1.1,1.5,0.8,0.0,1.1,2.2,7.8,Craig Hodges,6-2
1984-85,24.0,MIL,NBA,G,82,63,30.4,4.4,8.9,.490,0.6,1.6,.348,3.8,7.3,.523,.523,1.3,1.6,.815,0.9,1.4,2.3,4.3,1.2,0.0,1.6,3.2,10.6,Craig Hodges,6-2
1985-86,25.0,MIL,NBA,G,66,66,26.3,4.3,8.6,.500,1.1,2.5,.451,3.2,6.2,.520,.564,1.1,1.3,.872,0.6,1.2,1.8,3.5,1.1,0.0,1.3,2.4,10.8,Craig Hodges,6-2
1986-87,26.0,MIL,NBA,G,78,43,27.5,4.0,8.7,.462,1.1,2.9,.373,2.9,5.8,.507,.524,1.7,1.9,.891,0.6,1.2,1.8,3.1,1.0,0.1,1.6,2.4,10.8,Craig Hodges,6-2
1987-88,27.0,TOT,NBA,G,66,0,21.9,3.7,7.9,.463,1.3,2.7,.491,2.4,5.3,.448,.545,0.9,1.1,.831,0.3,0.9,1.2,2.3,0.7,0.0,1.2,1.8,9.5,Craig Hodges,6-2
1988-89,28.0,TOT,NBA,G,59,6,20.4,3.4,7.3,.472,1.3,3.1,.417,2.2,4.2,.512,.559,0.8,1.0,.842,0.4,1.1,1.5,2.5,0.7,0.1,1.0,1.5,9.0,Craig Hodges,6-2
1989-90,29.0,CHI,NBA,G,63,0,16.7,2.3,5.3,.438,1.4,2.9,.481,0.9,2.4,.387,.569,0.5,0.5,.909,0.2,0.7,0.8,1.7,0.5,0.0,0.5,1.4,6.5,Craig Hodges,6-2
1990-91,30.0,CHI,NBA,G,73,0,11.5,2.0,4.7,.424,0.6,1.6,.383,1.4,3.1,.445,.488,0.4,0.4,.963,0.1,0.4,0.6,1.3,0.5,0.0,0.5,1.0,5.0,Craig Hodges,6-2
1991-92,31.0,CHI,NBA,G,56,2,9.9,1.7,4.3,.384,0.6,1.7,.375,1.0,2.6,.390,.459,0.3,0.3,.941,0.1,0.3,0.4,1.0,0.3,0.0,0.4,0.6,4.3,Craig Hodges,6-2
