Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Ht
1967-68,22.0,NYK,NBA,F-C,75,,14.6,2.4,6.1,.400,,,,2.4,6.1,.400,.400,1.3,2.2,.589,,,4.5,0.7,,,,2.8,6.2,Phil Jackson,6-8
1968-69,23.0,NYK,NBA,F-C,47,,19.7,2.7,6.3,.429,,,,2.7,6.3,.429,.429,1.7,2.5,.672,,,5.2,0.9,,,,3.6,7.1,Phil Jackson,6-8
1970-71,25.0,NYK,NBA,F-C,71,,10.9,1.7,3.7,.449,,,,1.7,3.7,.449,.449,1.3,1.9,.714,,,3.4,0.4,,,,2.4,4.7,Phil Jackson,6-8
1971-72,26.0,NYK,NBA,F-C,80,,15.9,2.6,5.8,.440,,,,2.6,5.8,.440,.440,2.1,2.9,.732,,,4.1,0.9,,,,2.8,7.2,Phil Jackson,6-8
1972-73,27.0,NYK,NBA,F-C,80,,17.4,3.1,6.9,.443,,,,3.1,6.9,.443,.443,1.9,2.4,.790,,,4.3,1.2,,,,2.7,8.1,Phil Jackson,6-8
1973-74,28.0,NYK,NBA,F-C,82,,25.0,4.4,9.2,.477,,,,4.4,9.2,.477,.477,2.3,3.0,.776,1.5,4.3,5.8,1.6,0.5,0.8,,3.4,11.1,Phil Jackson,6-8
1974-75,29.0,NYK,NBA,F-C,78,,29.3,4.2,9.1,.455,,,,4.2,9.1,.455,.455,2.5,3.2,.763,1.8,5.9,7.7,1.7,1.1,0.7,,4.2,10.8,Phil Jackson,6-8
1975-76,30.0,NYK,NBA,F-C,80,,18.3,2.3,4.8,.478,,,,2.3,4.8,.478,.478,1.4,1.9,.733,1.0,3.3,4.3,1.3,0.5,0.3,,3.4,6.0,Phil Jackson,6-8
1976-77,31.0,NYK,NBA,F-C,76,,13.6,1.3,3.1,.440,,,,1.3,3.1,.440,.440,0.7,0.9,.718,1.0,2.0,3.0,1.1,0.4,0.2,,2.4,3.4,Phil Jackson,6-8
1977-78,32.0,NYK,NBA,F-C,63,,10.4,0.9,1.8,.478,,,,0.9,1.8,.478,.478,0.7,0.9,.768,0.5,1.3,1.7,0.7,0.5,0.2,0.7,1.7,2.4,Phil Jackson,6-8
1978-79,33.0,NJN,NBA,F-C,59,,18.1,2.4,5.1,.475,,,,2.4,5.1,.475,.475,1.5,1.8,.819,1.0,2.0,3.0,1.4,0.8,0.4,1.3,2.8,6.3,Phil Jackson,6-8
1979-80,34.0,NJN,NBA,F-C,16,,12.1,1.8,2.9,.630,0.0,0.1,.000,1.8,2.8,.659,.630,0.4,0.6,.700,0.8,0.8,1.5,0.8,0.3,0.3,0.6,2.2,4.1,Phil Jackson,6-8
