Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Ht
1963-64,25.0,BAL,NBA,F-C,78.0,,36.5,7.3,17.0,0.43,,,,7.3,17.0,0.43,0.43,2.7,4.1,0.658,,,13.6,2.2,,,,4.1,17.3,Gus Johnson,6-6
1964-65,26.0,BAL,NBA,F-C,76.0,,38.1,7.6,18.1,0.418,,,,7.6,18.1,0.418,0.418,3.4,5.1,0.676,,,13.0,3.6,,,,3.4,18.6,Gus Johnson,6-6
1965-66,27.0,BAL,NBA,F-C,41.0,,31.3,6.7,16.1,0.413,,,,6.7,16.1,0.413,0.413,3.2,4.3,0.736,,,13.3,2.8,,,,3.3,16.5,Gus Johnson,6-6
1966-67,28.0,BAL,NBA,F-C,73.0,,36.0,8.5,18.9,0.45,,,,8.5,18.9,0.45,0.45,3.7,5.2,0.708,,,11.7,2.7,,,,3.8,20.7,Gus Johnson,6-6
1967-68,29.0,BAL,NBA,F-C,60.0,,37.9,8.0,17.2,0.467,,,,8.0,17.2,0.467,0.467,3.0,4.5,0.667,,,13.0,2.7,,,,3.7,19.1,Gus Johnson,6-6
1968-69,30.0,BAL,NBA,F-C,49.0,,34.1,7.3,16.0,0.459,,,,7.3,16.0,0.459,0.459,3.3,4.6,0.717,,,11.6,2.0,,,,3.6,17.9,Gus Johnson,6-6
1969-70,31.0,BAL,NBA,F-C,78.0,,37.4,7.4,16.4,0.451,,,,7.4,16.4,0.451,0.451,2.5,3.5,0.724,,,13.9,3.4,,,,3.4,17.3,Gus Johnson,6-6
1970-71,32.0,BAL,NBA,F-C,66.0,,38.5,7.5,16.5,0.453,,,,7.5,16.5,0.453,0.453,3.2,4.4,0.738,,,17.1,2.9,,,,3.4,18.2,Gus Johnson,6-6
1971-72,33.0,BAL,NBA,F-C,39.0,,17.1,2.6,6.9,0.383,,,,2.6,6.9,0.383,0.383,1.1,1.6,0.683,,,5.8,1.3,,,,2.3,6.4,Gus Johnson,6-6
1972-73,34.0,TOT,TOT,F-C,71.0,,16.5,2.8,6.8,0.419,0.1,0.3,0.19,2.8,6.5,0.429,0.423,0.8,1.1,0.718,1.2,,5.4,1.3,,,1.0,2.4,6.5,Gus Johnson,6-6
