Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Ht
1972-73,23.0,POR,NBA,F,78.0,,27.4,3.9,7.9,0.497,,,,3.9,7.9,0.497,0.497,2.0,2.6,0.757,,,5.3,2.6,,,,2.1,9.9,Ollie Johnson,6-6
1973-74,24.0,POR,NBA,F,79.0,,21.7,2.6,5.5,0.482,,,,2.6,5.5,0.482,0.482,1.0,1.2,0.819,1.5,2.6,4.1,2.1,0.8,0.4,,2.3,6.3,Ollie Johnson,6-6
1974-75,25.0,TOT,NBA,F,73.0,,22.8,2.8,5.9,0.473,,,,2.8,5.9,0.473,0.473,1.3,1.6,0.833,1.2,2.1,3.3,1.5,0.8,0.5,,2.4,6.9,Ollie Johnson,6-6
1975-76,26.0,KCK,NBA,F,81.0,,26.5,4.3,8.4,0.513,,,,4.3,8.4,0.513,0.513,1.5,1.8,0.839,1.4,3.0,4.4,1.8,0.8,0.5,,2.7,10.1,Ollie Johnson,6-6
1976-77,27.0,KCK,NBA,F,81.0,,17.1,2.7,5.5,0.489,,,,2.7,5.5,0.489,0.489,1.2,1.4,0.878,0.8,1.8,2.6,1.3,0.5,0.3,,2.1,6.6,Ollie Johnson,6-6
1977-78,28.0,ATL,NBA,F,82.0,,20.8,3.6,7.5,0.472,,,,3.6,7.5,0.472,0.472,1.4,1.6,0.854,1.1,2.1,3.2,1.5,1.0,0.4,1.3,2.2,8.5,Ollie Johnson,6-6
1978-79,29.0,CHI,NBA,F,71.0,,24.4,4.0,7.6,0.52,,,,4.0,7.6,0.52,0.52,1.2,1.5,0.8,0.8,2.4,3.2,2.3,0.8,0.5,1.6,2.6,9.2,Ollie Johnson,6-6
1979-80,30.0,CHI,NBA,F,79.0,,19.4,3.3,6.7,0.497,0.0,0.1,0.091,3.3,6.5,0.506,0.498,1.0,1.2,0.882,0.6,1.4,2.1,2.0,0.7,0.3,1.2,2.1,7.7,Ollie Johnson,6-6
1980-81,31.0,PHI,NBA,F,40.0,,9.3,2.2,4.0,0.551,0.0,0.2,0.167,2.2,3.8,0.566,0.554,0.7,0.8,0.871,0.2,1.2,1.4,0.8,0.5,0.1,0.6,1.1,5.1,Ollie Johnson,6-6
1981-82,32.0,PHI,NBA,F,26.0,0.0,5.8,1.0,2.1,0.5,0.0,0.1,0.333,1.0,2.0,0.51,0.509,0.2,0.3,0.857,0.3,0.6,0.8,0.4,0.5,0.1,0.5,1.1,2.3,Ollie Johnson,6-6
