Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Ht
1985-86,24.0,SAC,NBA,C,80.0,18.0,14.8,2.0,4.3,0.465,0.0,0.0,,2.0,4.3,0.465,0.465,1.2,1.6,0.723,1.4,3.3,4.7,0.6,0.3,0.4,1.3,2.8,5.2,Joe Kleine,6-11
1986-87,25.0,SAC,NBA,C,79.0,31.0,21.0,3.2,6.9,0.471,0.0,0.0,0.0,3.2,6.9,0.472,0.471,1.4,1.8,0.786,2.2,3.9,6.1,0.9,0.4,0.4,1.1,2.7,7.9,Joe Kleine,6-11
1987-88,26.0,SAC,NBA,C,82.0,60.0,24.4,4.0,8.4,0.472,0.0,0.0,,4.0,8.4,0.472,0.472,1.9,2.3,0.814,2.2,4.9,7.1,1.1,0.3,0.7,1.3,2.8,9.8,Joe Kleine,6-11
1988-89,27.0,TOT,NBA,C,75.0,13.0,18.8,2.3,5.8,0.405,0.0,0.0,0.0,2.3,5.7,0.407,0.405,1.8,2.0,0.882,1.7,3.4,5.0,0.9,0.4,0.3,1.4,2.6,6.5,Joe Kleine,6-11
1989-90,28.0,BOS,NBA,C,81.0,4.0,16.9,2.2,4.5,0.48,0.0,0.0,0.0,2.2,4.5,0.485,0.48,1.0,1.2,0.83,1.4,2.9,4.4,0.6,0.2,0.3,0.8,2.1,5.4,Joe Kleine,6-11
1990-91,29.0,BOS,NBA,C,72.0,1.0,11.8,1.4,3.0,0.468,0.0,0.0,0.0,1.4,3.0,0.472,0.468,0.8,1.0,0.783,1.0,2.4,3.4,0.3,0.2,0.2,0.7,1.5,3.6,Joe Kleine,6-11
1991-92,30.0,BOS,NBA,C,70.0,3.0,14.2,2.1,4.2,0.491,0.1,0.1,0.5,2.0,4.1,0.491,0.498,0.5,0.7,0.708,1.3,2.9,4.2,0.5,0.3,0.2,0.4,1.4,4.7,Joe Kleine,6-11
1992-93,31.0,BOS,NBA,C,78.0,3.0,14.5,1.4,3.4,0.404,0.0,0.1,0.0,1.4,3.3,0.414,0.404,0.5,0.7,0.707,1.4,3.0,4.4,0.5,0.2,0.2,0.5,1.6,3.3,Joe Kleine,6-11
1993-94,32.0,PHO,NBA,C,74.0,4.0,11.5,1.7,3.5,0.488,0.1,0.1,0.455,1.6,3.3,0.49,0.498,0.4,0.5,0.769,0.7,1.9,2.6,0.6,0.2,0.3,0.5,1.6,3.9,Joe Kleine,6-11
1994-95,33.0,PHO,NBA,C,75.0,42.0,12.9,1.6,3.5,0.449,0.0,0.0,0.0,1.6,3.5,0.452,0.449,0.6,0.7,0.857,1.1,2.4,3.5,0.5,0.2,0.2,0.5,2.3,3.7,Joe Kleine,6-11
1995-96,34.0,PHO,NBA,C,56.0,9.0,11.8,1.3,3.0,0.42,0.0,0.1,0.286,1.2,2.9,0.426,0.426,0.4,0.4,0.8,0.6,1.7,2.4,0.8,0.2,0.1,0.7,2.0,2.9,Joe Kleine,6-11
1996-97,35.0,TOT,NBA,C,59.0,10.0,14.4,1.2,2.9,0.406,0.0,0.1,0.667,1.1,2.8,0.401,0.412,0.5,0.6,0.737,1.1,2.4,3.4,0.6,0.3,0.3,0.7,1.9,2.8,Joe Kleine,6-11
1997-98,36.0,CHI,NBA,C,46.0,1.0,8.6,0.8,2.3,0.368,0.0,0.0,,0.8,2.3,0.368,0.368,0.3,0.4,0.833,0.6,1.1,1.7,0.7,0.1,0.1,0.6,1.4,2.0,Joe Kleine,6-11
1998-99,37.0,PHO,NBA,C,31.0,5.0,12.1,1.0,2.4,0.405,0.0,0.1,0.0,1.0,2.3,0.417,0.405,0.3,0.4,0.667,0.9,1.3,2.2,0.4,0.3,0.0,0.3,1.5,2.2,Joe Kleine,6-11
1999-00,38.0,POR,NBA,C,7.0,0.0,4.4,0.6,1.6,0.364,0.0,0.0,,0.6,1.6,0.364,0.364,0.4,0.4,1.0,0.0,0.9,0.9,0.3,0.1,0.0,0.3,1.0,1.6,Joe Kleine,6-11
