Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Ht
1974-75,22.0,INA,ABA,G-F,80.0,,32.0,7.3,13.6,0.534,0.1,0.2,0.25,7.2,13.4,0.538,0.535,2.6,3.2,0.799,3.6,4.4,7.9,2.1,1.4,0.4,3.0,2.4,17.1,Billy Knight,6-6
1975-76,23.0,INA,ABA,G-F,70.0,,39.6,11.1,22.4,0.494,0.1,0.2,0.4,11.0,22.2,0.495,0.496,5.9,7.2,0.828,4.2,5.9,10.1,3.7,1.3,0.3,4.3,2.9,28.1,Billy Knight,6-6
1976-77,24.0,IND,NBA,G-F,78.0,,40.0,10.7,21.6,0.493,,,,10.7,21.6,0.493,0.493,5.3,6.5,0.816,2.9,4.6,7.5,3.3,1.5,0.2,,2.5,26.6,Billy Knight,6-6
1977-78,25.0,BUF,NBA,G-F,53.0,,40.7,8.6,17.5,0.494,,,,8.6,17.5,0.494,0.494,5.7,7.0,0.809,2.4,4.8,7.2,3.0,1.5,0.2,3.2,2.6,22.9,Billy Knight,6-6
1978-79,26.0,TOT,NBA,G-F,79.0,,26.5,5.6,10.6,0.528,,,,5.6,10.6,0.528,0.528,3.2,3.7,0.841,1.2,3.2,4.4,1.9,0.8,0.1,2.8,2.0,14.3,Billy Knight,6-6
1979-80,27.0,IND,NBA,G-F,75.0,,25.5,5.1,9.6,0.533,0.1,0.2,0.267,5.1,9.4,0.539,0.536,2.8,3.5,0.809,1.8,3.0,4.8,2.1,1.1,0.1,1.8,1.3,13.1,Billy Knight,6-6
1980-81,28.0,IND,NBA,G-F,82.0,,29.1,6.7,12.5,0.533,0.0,0.2,0.158,6.6,12.3,0.54,0.534,4.2,5.0,0.832,2.3,2.7,5.0,1.9,1.0,0.1,2.2,1.9,17.5,Billy Knight,6-6
1981-82,29.0,IND,NBA,G-F,81.0,19.0,22.3,4.7,9.4,0.495,0.1,0.4,0.281,4.6,9.0,0.504,0.501,2.9,3.5,0.826,1.2,2.0,3.2,1.5,0.8,0.2,1.7,1.6,12.3,Billy Knight,6-6
1982-83,30.0,IND,NBA,G-F,80.0,54.0,28.3,6.4,12.3,0.52,0.0,0.2,0.158,6.4,12.1,0.527,0.522,4.3,5.1,0.841,1.9,2.2,4.1,2.4,0.8,0.1,2.4,1.8,17.1,Billy Knight,6-6
1983-84,31.0,KCK,NBA,G-F,75.0,39.0,25.1,4.8,9.7,0.491,0.1,0.2,0.286,4.7,9.5,0.495,0.494,3.2,3.8,0.859,1.2,2.2,3.4,2.1,0.7,0.1,2.1,1.6,12.8,Billy Knight,6-6
1984-85,32.0,TOT,NBA,G-F,68.0,1.0,11.8,2.3,5.2,0.441,0.2,0.4,0.44,2.1,4.8,0.441,0.456,0.9,1.1,0.877,0.7,1.0,1.7,1.2,0.2,0.0,1.0,0.9,5.7,Billy Knight,6-6
