Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Player,Ht
1964-65,23.0,NYK,NBA,G,80.0,,29.7,4.8,12.8,0.374,2.7,3.2,0.835,,,2.4,3.3,,,3.1,12.2,Howard Komives,6-1
1965-66,24.0,NYK,NBA,G,80.0,,32.7,5.5,14.0,0.391,3.0,3.5,0.861,,,3.5,5.3,,,3.5,13.9,Howard Komives,6-1
1966-67,25.0,NYK,NBA,G,65.0,,35.1,6.2,15.3,0.404,3.3,3.9,0.858,,,2.8,6.2,,,3.3,15.7,Howard Komives,6-1
1967-68,26.0,NYK,NBA,G,78.0,,21.3,3.0,8.1,0.369,1.7,2.1,0.82,,,2.2,3.2,,,2.2,7.7,Howard Komives,6-1
1968-69,27.0,TOT,NBA,G,85.0,,30.1,4.5,11.5,0.389,2.5,3.1,0.799,,,3.5,4.7,,,3.2,11.4,Howard Komives,6-1
1969-70,28.0,DET,NBA,G,82.0,,29.5,4.4,10.7,0.413,2.3,2.9,0.812,,,2.4,3.8,,,3.0,11.2,Howard Komives,6-1
1970-71,29.0,DET,NBA,G,82.0,,23.6,3.4,8.7,0.385,1.5,1.8,0.801,,,1.9,3.2,,,2.2,8.2,Howard Komives,6-1
1971-72,30.0,DET,NBA,G,79.0,,26.2,3.3,8.9,0.373,2.1,2.6,0.808,,,2.2,3.7,,,2.5,8.7,Howard Komives,6-1
1972-73,31.0,BUF,NBA,G,67.0,,21.9,2.4,6.4,0.38,1.3,1.5,0.867,,,1.8,3.6,,,2.3,6.1,Howard Komives,6-1
1973-74,32.0,KCO,NBA,G,44.0,,18.9,1.8,4.4,0.406,0.8,0.9,0.868,0.2,0.8,1.0,2.2,0.7,0.1,1.9,4.3,Howard Komives,6-1
