Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Ht
1992-93,23.0,MIN,NBA,F-C,81.0,81.0,34.9,6.2,13.1,0.474,0.0,0.5,0.1,6.2,12.6,0.489,0.476,5.7,6.8,0.835,2.1,6.6,8.7,2.8,1.3,1.0,3.4,3.6,18.2,Christian Laettner,6-11
1993-94,24.0,MIN,NBA,F-C,70.0,67.0,34.7,5.7,12.6,0.448,0.1,0.4,0.24,5.6,12.3,0.455,0.452,5.4,6.8,0.783,2.3,6.3,8.6,4.4,1.2,1.2,3.7,3.8,16.8,Christian Laettner,6-11
1994-95,25.0,MIN,NBA,F-C,81.0,80.0,34.2,5.6,11.4,0.489,0.2,0.5,0.325,5.4,10.9,0.497,0.496,5.0,6.2,0.818,2.0,5.5,7.6,2.9,1.2,1.1,2.8,3.7,16.3,Christian Laettner,6-11
1995-96,26.0,TOT,NBA,F-C,74.0,71.0,33.7,6.0,12.3,0.487,0.1,0.5,0.231,5.9,11.7,0.499,0.492,4.4,5.4,0.818,2.5,4.8,7.3,2.7,1.0,1.0,2.5,3.7,16.4,Christian Laettner,6-11
1996-97,27.0,ATL,NBA,F-C,82.0,82.0,38.3,6.7,13.8,0.486,0.4,1.1,0.352,6.3,12.7,0.497,0.5,4.4,5.4,0.816,2.6,6.2,8.8,2.7,1.2,0.8,2.7,3.4,18.1,Christian Laettner,6-11
1997-98,28.0,ATL,NBA,F-C,74.0,49.0,30.8,4.8,9.9,0.485,0.1,0.4,0.222,4.7,9.5,0.495,0.489,4.1,4.8,0.864,1.9,4.7,6.6,2.6,1.0,1.0,2.5,3.3,13.8,Christian Laettner,6-11
1998-99,29.0,DET,NBA,F-C,16.0,0.0,21.1,2.4,6.6,0.358,0.1,0.2,0.333,2.3,6.4,0.359,0.363,2.8,3.6,0.772,1.3,2.1,3.4,1.5,0.9,0.8,1.2,1.9,7.6,Christian Laettner,6-11
1999-00,30.0,DET,NBA,F-C,82.0,82.0,29.8,4.6,9.8,0.473,0.1,0.3,0.292,4.5,9.5,0.479,0.478,2.9,3.6,0.812,2.1,4.6,6.7,2.3,1.0,0.5,2.3,4.0,12.2,Christian Laettner,6-11
2000-01,31.0,TOT,NBA,F-C,78.0,48.0,21.3,3.6,7.1,0.503,0.1,0.2,0.308,3.5,6.9,0.507,0.506,2.2,2.6,0.833,1.5,3.2,4.7,1.6,0.9,0.6,1.8,3.1,9.3,Christian Laettner,6-11
2001-02,32.0,WAS,NBA,F-C,57.0,48.0,25.3,2.9,6.4,0.464,0.0,0.2,0.2,2.9,6.2,0.472,0.467,1.2,1.3,0.868,1.3,4.0,5.3,2.6,1.1,0.4,1.5,2.3,7.1,Christian Laettner,6-11
2002-03,33.0,WAS,NBA,F-C,76.0,66.0,29.1,3.4,6.8,0.494,0.0,0.2,0.125,3.3,6.6,0.506,0.496,1.6,1.9,0.833,1.5,5.1,6.6,3.1,1.1,0.5,1.1,2.7,8.3,Christian Laettner,6-11
2003-04,34.0,WAS,NBA,F-C,48.0,18.0,20.5,2.5,5.3,0.465,0.1,0.4,0.286,2.4,4.9,0.481,0.477,0.8,1.0,0.8,1.0,3.8,4.8,1.9,0.8,0.6,0.9,2.1,5.9,Christian Laettner,6-11
2004-05,35.0,MIA,NBA,F-C,49.0,0.0,15.1,2.2,3.8,0.582,0.0,0.1,0.143,2.2,3.6,0.599,0.584,0.9,1.2,0.763,0.7,1.9,2.7,0.8,0.7,0.3,0.6,1.6,5.3,Christian Laettner,6-11
