Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Player,Ht
1959-60,22.0,MNL,NBA,F-C,71.0,,29.5,5.0,12.9,0.389,3.7,5.0,0.742,9.6,1.2,3.1,13.7,Rudy LaRusso,6-7
1960-61,23.0,LAL,NBA,F-C,79.0,,32.8,5.3,12.6,0.419,4.1,5.2,0.79,9.9,1.7,3.5,14.6,Rudy LaRusso,6-7
1961-62,24.0,LAL,NBA,F-C,80.0,,34.4,6.5,13.9,0.466,4.3,5.6,0.763,10.4,2.2,3.2,17.2,Rudy LaRusso,6-7
1962-63,25.0,LAL,NBA,F-C,75.0,,33.4,4.3,10.1,0.422,3.8,5.2,0.718,10.0,2.5,3.4,12.3,Rudy LaRusso,6-7
1963-64,26.0,LAL,NBA,F-C,79.0,,34.8,4.3,9.8,0.434,3.8,5.0,0.751,10.1,2.4,3.4,12.3,Rudy LaRusso,6-7
1964-65,27.0,LAL,NBA,F-C,77.0,,33.6,4.9,10.7,0.461,4.2,5.4,0.773,9.4,2.6,3.4,14.1,Rudy LaRusso,6-7
1965-66,28.0,LAL,NBA,F-C,76.0,,30.5,5.4,11.8,0.457,4.6,5.9,0.787,8.7,2.2,3.4,15.4,Rudy LaRusso,6-7
1966-67,29.0,LAL,NBA,F-C,45.0,,28.7,4.7,11.3,0.415,3.5,5.0,0.696,7.8,1.7,3.3,12.8,Rudy LaRusso,6-7
1967-68,30.0,SFW,NBA,F-C,79.0,,35.7,7.6,17.6,0.433,6.6,8.4,0.79,9.4,2.3,4.3,21.8,Rudy LaRusso,6-7
1968-69,31.0,SFW,NBA,F-C,75.0,,37.1,7.4,18.0,0.41,5.9,7.5,0.794,8.3,2.1,3.6,20.7,Rudy LaRusso,6-7
