Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Player,Ht
1966-67,22.0,SFW,NBA,F-C,74.0,,16.9,2.8,6.8,0.408,1.4,2.2,0.633,,,7.4,1.0,,,2.3,7.0,Clyde Lee,6-10
1967-68,23.0,SFW,NBA,F-C,82.0,,32.9,4.5,10.9,0.417,2.8,4.1,0.684,,,13.9,1.6,,,4.0,11.9,Clyde Lee,6-10
1968-69,24.0,SFW,NBA,F-C,65.0,,34.4,4.1,10.4,0.398,2.5,3.9,0.625,,,13.8,1.3,,,3.5,10.7,Clyde Lee,6-10
1969-70,25.0,SFW,NBA,F-C,82.0,,32.2,4.4,10.0,0.44,2.2,3.7,0.593,,,11.3,1.0,,,3.2,11.0,Clyde Lee,6-10
1970-71,26.0,SFW,NBA,F-C,82.0,,17.0,2.4,5.2,0.453,1.4,2.4,0.558,,,7.0,0.8,,,1.7,6.1,Clyde Lee,6-10
1971-72,27.0,GSW,NBA,F-C,78.0,,34.3,3.3,7.0,0.471,1.5,2.8,0.541,,,14.5,1.1,,,3.1,8.1,Clyde Lee,6-10
1972-73,28.0,GSW,NBA,F-C,66.0,,22.4,2.6,5.5,0.466,1.1,2.0,0.565,,,9.1,0.5,,,2.8,6.3,Clyde Lee,6-10
1973-74,29.0,GSW,NBA,F-C,54.0,,30.4,2.4,5.3,0.454,1.1,2.0,0.579,3.5,7.6,11.1,1.3,0.5,0.3,3.3,5.9,Clyde Lee,6-10
1974-75,30.0,TOT,NBA,F-C,80.0,,30.7,2.2,5.3,0.412,1.5,2.2,0.672,3.6,5.9,9.5,1.3,0.4,0.3,3.6,5.9,Clyde Lee,6-10
1975-76,31.0,PHI,NBA,F-C,79.0,,18.0,1.6,3.6,0.436,0.8,1.2,0.663,2.1,3.7,5.7,0.7,0.3,0.3,2.4,3.9,Clyde Lee,6-10
