Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Ht
1966-67,23.0,CIN,NBA,G,32.0,,10.4,1.9,4.8,0.392,,,,1.9,4.8,0.392,0.392,0.9,1.3,0.707,,,1.4,1.3,,,,1.5,4.7,Freddie Lewis,6-0
1967-68,24.0,INA,ABA,G,76.0,,38.4,7.1,16.9,0.421,0.2,1.0,0.216,6.9,16.0,0.434,0.427,6.1,7.7,0.798,,,5.8,2.4,,,2.8,2.9,20.6,Freddie Lewis,6-0
1968-69,25.0,INA,ABA,G,78.0,,39.2,7.3,16.7,0.44,0.3,1.1,0.265,7.1,15.6,0.452,0.448,5.4,6.5,0.822,1.5,3.3,4.8,4.4,,,2.9,3.7,20.3,Freddie Lewis,6-0
1969-70,26.0,INA,ABA,G,81.0,,35.5,5.5,13.1,0.421,0.6,2.2,0.266,5.0,11.0,0.452,0.443,4.7,6.0,0.79,1.5,2.0,3.4,3.6,,,2.3,3.6,16.4,Freddie Lewis,6-0
1970-71,27.0,INA,ABA,G,81.0,,37.5,6.8,15.3,0.441,0.7,2.4,0.304,6.0,12.9,0.466,0.465,4.6,5.7,0.807,2.1,2.1,4.1,5.3,,,2.5,3.1,18.8,Freddie Lewis,6-0
1971-72,28.0,INA,ABA,G,77.0,,35.2,5.3,12.3,0.428,0.4,1.3,0.31,4.9,11.0,0.442,0.444,4.4,5.1,0.861,1.7,2.5,4.2,4.7,,,2.5,3.0,15.4,Freddie Lewis,6-0
1972-73,29.0,INA,ABA,G,72.0,,30.8,5.2,11.9,0.436,0.5,1.5,0.345,4.7,10.4,0.449,0.458,4.0,4.8,0.822,1.3,1.8,3.2,4.0,,,2.4,2.8,14.9,Freddie Lewis,6-0
1973-74,30.0,INA,ABA,G,78.0,,27.7,3.7,9.3,0.398,0.2,0.9,0.181,3.6,8.4,0.422,0.407,2.3,2.8,0.831,1.1,1.5,2.6,4.1,1.3,0.1,2.2,2.4,9.9,Freddie Lewis,6-0
1974-75,31.0,TOT,ABA,G,69.0,,40.4,8.4,17.9,0.47,0.3,1.0,0.269,8.1,16.9,0.482,0.477,5.1,6.1,0.843,1.6,2.2,3.8,5.3,2.1,0.0,3.0,2.3,22.2,Freddie Lewis,6-0
1975-76,32.0,SSL,ABA,G,74.0,,30.6,5.4,12.9,0.423,0.4,1.4,0.292,5.0,11.4,0.439,0.439,3.5,4.3,0.817,0.9,2.0,2.9,4.0,1.5,0.1,2.6,2.5,14.8,Freddie Lewis,6-0
1976-77,33.0,IND,NBA,G,32.0,,17.3,2.5,6.2,0.407,,,,2.5,6.2,0.407,0.407,1.9,2.4,0.805,0.5,0.9,1.5,1.8,0.6,0.1,,1.8,7.0,Freddie Lewis,6-0
