Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Player,Ht
1963-64,23.0,CIN,NBA,F-C,79,,41.4,6.9,13.1,.527,3.9,5.0,.779,,,17.4,2.6,,,3.8,17.7,Jerry Lucas,6-8
1964-65,24.0,CIN,NBA,F-C,66,,43.4,8.5,17.0,.498,4.5,5.5,.814,,,20.0,2.4,,,3.2,21.4,Jerry Lucas,6-8
1965-66,25.0,CIN,NBA,F-C,79,,44.5,8.7,19.3,.453,4.0,5.1,.787,,,21.1,2.7,,,3.5,21.5,Jerry Lucas,6-8
1966-67,26.0,CIN,NBA,F-C,81,,43.9,7.1,15.5,.459,3.5,4.4,.791,,,19.1,3.3,,,3.5,17.8,Jerry Lucas,6-8
1967-68,27.0,CIN,NBA,F-C,82,,44.1,8.6,16.6,.519,4.2,5.4,.778,,,19.0,3.1,,,3.0,21.5,Jerry Lucas,6-8
1968-69,28.0,CIN,NBA,F-C,74,,41.6,7.5,13.6,.551,3.3,4.4,.755,,,18.4,4.1,,,2.8,18.3,Jerry Lucas,6-8
1969-70,29.0,TOT,NBA,F-C,67,,36.1,6.0,11.9,.507,3.0,3.8,.784,,,14.2,2.6,,,2.4,15.1,Jerry Lucas,6-8
1970-71,30.0,SFW,NBA,F-C,80,,40.6,7.8,15.6,.498,3.6,4.6,.787,,,15.8,3.7,,,2.5,19.2,Jerry Lucas,6-8
1971-72,31.0,NYK,NBA,F-C,77,,38.0,7.1,13.8,.512,2.6,3.2,.791,,,13.1,4.1,,,2.8,16.7,Jerry Lucas,6-8
1972-73,32.0,NYK,NBA,F-C,71,,28.2,4.4,8.6,.513,1.1,1.4,.800,,,7.2,4.5,,,2.2,9.9,Jerry Lucas,6-8
1973-74,33.0,NYK,NBA,F-C,73,,22.3,2.7,5.8,.462,0.9,1.3,.698,0.8,4.3,5.1,3.2,0.4,0.3,1.8,6.2,Jerry Lucas,6-8
