Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Player,Ht
1966-67,22.0,BAL,NBA,F-G,74.0,,17.9,3.8,8.5,0.448,2.0,2.5,0.775,,,4.2,1.0,,,2.7,9.6,Jack Marin,6-7
1967-68,23.0,BAL,NBA,F-G,82.0,,24.8,5.2,11.4,0.46,3.0,3.8,0.796,,,5.8,1.3,,,3.0,13.5,Jack Marin,6-7
1968-69,24.0,BAL,NBA,F-G,82.0,,33.0,6.2,13.5,0.455,3.6,4.3,0.83,,,7.4,2.8,,,3.4,15.9,Jack Marin,6-7
1969-70,25.0,BAL,NBA,F-G,82.0,,35.9,8.1,16.6,0.489,3.5,4.1,0.844,,,6.5,2.6,,,3.0,19.7,Jack Marin,6-7
1970-71,26.0,BAL,NBA,F-G,82.0,,35.6,7.6,16.6,0.46,3.5,4.2,0.848,,,6.3,2.6,,,3.2,18.8,Jack Marin,6-7
1971-72,27.0,BAL,NBA,F-G,78.0,,37.5,8.8,18.5,0.478,4.6,5.1,0.894,,,6.8,2.2,,,3.1,22.3,Jack Marin,6-7
1972-73,28.0,HOU,NBA,F-G,81.0,,37.3,7.7,16.5,0.468,3.1,3.6,0.849,,,6.2,3.6,,,3.0,18.5,Jack Marin,6-7
1973-74,29.0,TOT,NBA,F-G,74.0,,24.1,4.8,9.6,0.501,2.1,2.4,0.855,0.8,2.3,3.1,2.3,0.6,0.4,2.9,11.7,Jack Marin,6-7
1974-75,30.0,BUF,NBA,F-G,81.0,,26.5,4.7,10.3,0.455,2.4,2.7,0.869,1.3,3.2,4.5,1.6,0.6,0.2,2.9,11.8,Jack Marin,6-7
1975-76,31.0,TOT,NBA,F-G,79.0,,24.2,4.3,10.3,0.422,2.0,2.4,0.856,0.9,2.3,3.2,1.8,0.6,0.1,2.1,10.7,Jack Marin,6-7
1976-77,32.0,CHI,NBA,F-G,54.0,,16.1,3.1,6.6,0.465,0.6,0.7,0.795,0.5,1.2,1.7,1.1,0.2,0.1,1.6,6.8,Jack Marin,6-7
