Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Ht
1994-95,23.0,MIN,NBA,G,34,9,23.6,2.8,6.9,.408,0.2,1.1,.184,2.6,5.7,.451,.423,1.7,1.9,.877,0.4,1.5,1.9,3.9,1.0,0.0,1.8,2.6,7.5,Darrick Martin,5-11
1995-96,24.0,TOT,NBA,G,59,16,19.5,2.5,6.1,.406,0.3,1.2,.290,2.2,5.0,.433,.434,1.7,2.0,.842,0.3,1.1,1.4,3.7,0.9,0.1,1.8,2.1,7.0,Darrick Martin,5-11
1996-97,25.0,LAC,NBA,G,82,64,22.2,3.6,8.8,.407,1.1,2.9,.389,2.5,5.9,.415,.470,2.7,3.0,.872,0.3,1.1,1.4,4.1,0.7,0.0,1.5,2.0,10.9,Darrick Martin,5-11
1997-98,26.0,LAC,NBA,G,82,63,28.0,3.4,8.9,.377,1.3,3.6,.365,2.0,5.3,.384,.450,2.2,2.6,.848,0.2,1.8,2.0,4.0,1.0,0.1,1.9,2.4,10.3,Darrick Martin,5-11
1998-99,27.0,LAC,NBA,G,37,25,25.4,2.8,7.5,.367,0.8,2.9,.292,1.9,4.6,.413,.423,1.6,2.1,.803,0.1,1.2,1.3,3.9,1.2,0.1,1.8,2.2,8.0,Darrick Martin,5-11
1999-00,28.0,SAC,NBA,G,71,1,12.6,1.9,4.9,.380,0.5,1.7,.306,1.3,3.2,.420,.434,1.4,1.7,.824,0.1,0.5,0.6,1.7,0.4,0.0,0.9,1.3,5.7,Darrick Martin,5-11
2000-01,29.0,SAC,NBA,G,31,0,5.7,0.9,2.5,.382,0.5,0.9,.519,0.5,1.6,.306,.474,1.0,1.1,.886,0.1,0.5,0.5,0.5,0.2,0.0,0.3,0.9,3.3,Darrick Martin,5-11
2001-02,30.0,DAL,NBA,G,3,0,7.3,0.0,3.3,.000,0.0,0.7,.000,0.0,2.7,.000,.000,0.3,0.7,.500,0.0,0.3,0.3,1.0,0.7,0.0,0.3,1.3,0.3,Darrick Martin,5-11
2003-04,32.0,MIN,NBA,G,16,0,10.8,1.3,4.2,.299,0.4,1.6,.231,0.9,2.6,.341,.343,0.6,0.6,1.000,0.1,0.3,0.4,1.4,0.1,0.1,0.4,1.4,3.4,Darrick Martin,5-11
2004-05,33.0,LAC,NBA,G,11,0,17.3,1.5,4.5,.320,0.5,1.6,.278,1.0,2.9,.344,.370,0.5,0.7,.625,0.3,0.6,0.9,2.5,0.5,0.0,0.5,1.7,3.8,Darrick Martin,5-11
2005-06,34.0,TOR,NBA,G,40,0,8.5,0.9,2.4,.351,0.4,1.0,.400,0.5,1.4,.316,.433,0.5,0.6,.750,0.1,0.5,0.5,1.4,0.4,0.0,0.4,1.1,2.6,Darrick Martin,5-11
2006-07,35.0,TOR,NBA,G,31,0,7.1,1.1,3.0,.351,0.4,1.2,.351,0.6,1.8,.351,.420,0.5,0.7,.714,0.1,0.3,0.4,1.4,0.1,0.0,0.4,0.7,3.0,Darrick Martin,5-11
2007-08,36.0,TOR,NBA,G,17,0,8.3,0.6,2.5,.233,0.1,0.9,.125,0.5,1.6,.296,.256,0.3,0.4,.833,0.2,0.2,0.4,1.2,0.4,0.0,0.1,0.7,1.6,Darrick Martin,5-11
