Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Player,Ht
1965-66,22.0,CIN,NBA,G-F,72.0,,11.8,2.1,5.0,0.421,0.9,1.1,0.785,,,1.8,1.2,,,1.1,5.1,Jon McGlocklin,6-5
1966-67,23.0,CIN,NBA,G-F,60.0,,19.9,3.6,8.2,0.44,1.2,1.7,0.712,,,2.7,1.6,,,1.4,8.5,Jon McGlocklin,6-5
1967-68,24.0,SDR,NBA,G-F,65.0,,28.9,4.9,11.6,0.417,2.4,2.8,0.867,,,3.1,2.7,,,1.8,12.1,Jon McGlocklin,6-5
1968-69,25.0,MIL,NBA,G-F,80.0,,36.1,8.3,17.0,0.487,3.1,3.7,0.842,,,4.3,3.9,,,2.3,19.6,Jon McGlocklin,6-5
1969-70,26.0,MIL,NBA,G-F,82.0,,36.2,7.8,14.7,0.53,2.1,2.4,0.854,,,3.1,3.7,,,2.0,17.6,Jon McGlocklin,6-5
1970-71,27.0,MIL,NBA,G-F,82.0,,35.3,7.0,13.1,0.535,1.8,2.0,0.862,,,2.7,3.7,,,2.3,15.8,Jon McGlocklin,6-5
1971-72,28.0,MIL,NBA,G-F,80.0,,27.7,4.7,9.2,0.51,1.4,1.6,0.865,,,2.3,2.9,,,1.8,10.7,Jon McGlocklin,6-5
1972-73,29.0,MIL,NBA,G-F,80.0,,24.4,4.4,8.7,0.502,0.8,0.9,0.863,,,2.0,3.0,,,1.5,9.6,Jon McGlocklin,6-5
1973-74,30.0,MIL,NBA,G-F,79.0,,24.2,4.2,8.8,0.475,0.9,1.0,0.9,0.4,1.3,1.8,3.1,0.5,0.1,1.6,9.2,Jon McGlocklin,6-5
1974-75,31.0,MIL,NBA,G-F,79.0,,23.5,4.1,8.2,0.496,0.8,0.9,0.875,0.3,1.2,1.5,3.2,0.6,0.1,1.8,9.0,Jon McGlocklin,6-5
1975-76,32.0,MIL,NBA,G-F,33.0,,10.2,1.9,4.5,0.426,0.3,0.3,0.9,0.1,0.4,0.5,1.2,0.2,0.0,0.5,4.1,Jon McGlocklin,6-5
