Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Ht
1978-79,23.0,CLE,NBA,F,80,,19.7,4.5,8.8,.513,,,,4.5,8.8,.513,.513,1.6,2.2,.736,1.6,2.5,4.1,0.8,0.6,0.4,1.3,2.7,10.7,Mike Mitchell,6-7
1979-80,24.0,CLE,NBA,F,82,,34.2,9.5,18.1,.523,0.0,0.1,.000,9.5,18.0,.525,.523,3.3,4.2,.787,2.5,4.7,7.2,1.1,0.9,0.9,2.1,3.2,22.2,Mike Mitchell,6-7
1980-81,25.0,CLE,NBA,F,82,,39.0,10.4,21.8,.476,0.0,0.1,.444,10.4,21.7,.476,.477,3.7,4.7,.784,2.6,3.5,6.1,1.7,0.8,0.6,2.1,2.4,24.5,Mike Mitchell,6-7
1981-82,26.0,TOT,NBA,F,84,83,36.5,9.0,17.6,.510,0.0,0.1,.000,9.0,17.5,.512,.510,2.6,3.6,.728,2.9,4.1,7.0,1.0,0.7,0.5,1.8,3.3,20.5,Mike Mitchell,6-7
1982-83,27.0,SAS,NBA,F,80,79,35.0,8.6,16.8,.511,0.0,0.0,.000,8.6,16.7,.512,.511,2.7,3.6,.758,2.4,4.4,6.7,1.2,0.7,0.7,1.6,3.1,19.9,Mike Mitchell,6-7
1983-84,28.0,SAS,NBA,F,79,79,36.1,9.9,20.2,.488,0.1,0.2,.429,9.8,20.0,.488,.490,3.5,4.5,.779,2.4,4.8,7.2,1.2,0.8,0.9,1.8,3.2,23.3,Mike Mitchell,6-7
1984-85,29.0,SAS,NBA,F,82,82,34.8,9.5,19.0,.497,0.1,0.3,.217,9.4,18.7,.502,.499,3.3,4.2,.777,1.8,3.3,5.1,1.8,0.7,0.3,1.8,2.7,22.2,Mike Mitchell,6-7
1985-86,30.0,SAS,NBA,F,82,82,36.2,9.8,20.7,.473,0.0,0.1,.000,9.8,20.5,.476,.473,3.9,4.8,.809,1.6,3.4,5.0,2.3,0.7,0.3,2.2,2.1,23.4,Mike Mitchell,6-7
1986-87,31.0,SAS,NBA,F,40,18,23.1,5.2,12.0,.435,0.0,0.1,.500,5.2,11.9,.435,.436,2.3,2.8,.821,1.0,1.6,2.6,1.0,0.5,0.2,1.3,1.7,12.7,Mike Mitchell,6-7
1987-88,32.0,SAS,NBA,F,68,20,22.1,5.6,11.5,.482,0.0,0.2,.250,5.5,11.4,.486,.484,2.4,2.9,.825,0.8,2.1,2.9,1.0,0.5,0.2,0.8,1.5,13.5,Mike Mitchell,6-7
