Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Ht
1998-99,23.0,DET,NBA,C-F,2,0,3.0,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,1.0,1.0,1.000,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2.0,Mikki Moore,6-11
1999-00,24.0,DET,NBA,C-F,29,0,16.8,3.0,4.8,.621,0.0,0.0,,3.0,4.8,.621,.621,1.9,2.3,.794,1.5,2.3,3.9,0.6,0.3,1.1,0.8,3.6,7.9,Mikki Moore,6-11
2000-01,25.0,DET,NBA,C-F,81,2,14.2,1.6,3.3,.493,0.0,0.0,.000,1.6,3.3,.494,.493,1.2,1.6,.731,1.5,2.4,3.9,0.4,0.3,0.8,0.9,2.5,4.4,Mikki Moore,6-11
2001-02,26.0,DET,NBA,C-F,30,0,7.2,1.0,2.0,.475,0.0,0.1,.500,0.9,2.0,.475,.484,0.7,0.9,.769,0.7,1.0,1.8,0.4,0.2,0.3,0.5,1.2,2.6,Mikki Moore,6-11
2002-03,27.0,TOT,NBA,C-F,8,0,5.4,0.6,1.6,.385,0.0,0.0,,0.6,1.6,.385,.385,1.0,1.3,.800,0.8,0.3,1.0,0.4,0.0,0.5,0.3,0.9,2.3,Mikki Moore,6-11
2003-04,28.0,TOT,NBA,C-F,32,0,12.3,1.6,3.1,.505,0.0,0.0,,1.6,3.1,.505,.505,0.9,1.1,.857,0.9,1.7,2.6,0.6,0.2,0.4,0.7,2.0,4.1,Mikki Moore,6-11
2004-05,29.0,LAC,NBA,C-F,74,4,15.9,1.9,3.9,.502,0.0,0.1,.200,1.9,3.8,.507,.503,1.4,1.8,.787,1.3,2.0,3.3,0.6,0.3,0.4,0.9,2.3,5.4,Mikki Moore,6-11
2005-06,30.0,SEA,NBA,C-F,47,1,12.4,1.1,2.6,.435,0.0,0.0,.000,1.1,2.6,.443,.435,1.0,1.3,.742,0.9,1.8,2.8,0.6,0.1,0.3,0.9,2.0,3.3,Mikki Moore,6-11
2006-07,31.0,NJN,NBA,C-F,79,55,26.4,3.9,6.4,.609,0.0,0.0,.000,3.9,6.4,.610,.609,2.0,3.0,.681,1.8,3.3,5.1,0.9,0.6,0.8,1.4,3.3,9.8,Mikki Moore,6-11
2007-08,32.0,SAC,NBA,C-F,82,79,29.1,3.4,6.0,.577,0.0,0.0,.000,3.4,5.9,.579,.577,1.6,2.2,.736,2.0,4.1,6.0,1.0,0.4,0.6,1.3,3.8,8.5,Mikki Moore,6-11
2008-09,33.0,TOT,NBA,C-F,70,20,17.2,1.6,2.9,.553,0.0,0.0,,1.6,2.9,.553,.553,0.7,0.9,.787,1.1,2.6,3.7,0.8,0.2,0.3,0.7,3.0,3.9,Mikki Moore,6-11
2009-10,34.0,GSW,NBA,C-F,23,20,17.7,2.3,3.9,.600,0.0,0.0,,2.3,3.9,.600,.600,0.3,0.5,.636,1.1,1.9,3.0,1.6,0.2,0.6,0.9,2.6,5.0,Mikki Moore,6-11
2011-12,36.0,GSW,NBA,C-F,7,0,16.9,1.3,2.9,.450,0.0,0.0,,1.3,2.9,.450,.450,0.9,1.0,.857,1.0,2.1,3.1,0.7,0.4,0.4,1.0,3.4,3.4,Mikki Moore,6-11
