Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Ht
2002-03,23.0,LAL,NBA,G,34,0,10.1,1.1,2.7,.398,0.2,0.7,.292,0.9,2.0,.435,.435,0.1,0.1,1.000,0.3,0.8,1.1,1.1,0.4,0.1,0.7,1.3,2.5,Jannero Pargo,6-1
2003-04,24.0,TOT,NBA,G,31,1,15.5,2.6,6.4,.407,0.7,2.0,.355,1.9,4.4,.431,.462,0.7,0.9,.852,0.3,0.9,1.2,2.3,0.4,0.2,1.5,1.6,6.7,Jannero Pargo,6-1
2004-05,25.0,CHI,NBA,G,32,0,14.2,2.6,6.7,.385,0.7,2.1,.348,1.8,4.6,.401,.439,0.5,0.7,.739,0.4,1.1,1.5,2.4,0.5,0.0,1.4,1.7,6.4,Jannero Pargo,6-1
2005-06,26.0,CHI,NBA,G,57,0,11.3,1.9,5.1,.373,0.7,1.8,.379,1.2,3.3,.370,.440,0.3,0.4,.810,0.1,0.9,1.1,1.6,0.4,0.0,1.1,1.0,4.8,Jannero Pargo,6-1
2006-07,27.0,NOK,NBA,G,82,7,20.9,3.5,8.4,.409,1.0,2.5,.388,2.5,5.9,.418,.467,1.3,1.5,.852,0.2,2.0,2.2,2.5,0.6,0.0,1.5,1.5,9.2,Jannero Pargo,6-1
2007-08,28.0,NOH,NBA,G,80,5,18.7,3.2,8.2,.390,0.8,2.3,.349,2.4,5.8,.406,.439,0.9,1.0,.877,0.3,1.3,1.6,2.4,0.6,0.1,1.2,1.5,8.1,Jannero Pargo,6-1
2009-10,30.0,CHI,NBA,G,63,5,13.2,2.1,6.0,.346,0.6,2.2,.275,1.5,3.9,.387,.396,0.7,0.7,.933,0.1,1.1,1.2,1.4,0.5,0.0,0.8,1.1,5.5,Jannero Pargo,6-1
2011-12,32.0,ATL,NBA,G,50,0,13.4,2.1,5.1,.415,1.1,2.8,.384,1.0,2.3,.452,.520,0.4,0.4,.950,0.2,1.3,1.5,1.9,0.4,0.0,1.0,1.3,5.6,Jannero Pargo,6-1
2012-13,33.0,TOT,NBA,G,32,0,15.8,2.4,6.6,.368,1.2,3.6,.336,1.2,3.0,.406,.460,0.4,0.4,.923,0.3,0.8,1.1,2.1,0.6,0.1,1.3,1.3,6.5,Jannero Pargo,6-1
2013-14,34.0,CHA,NBA,G,29,0,8.3,1.8,4.1,.441,0.8,2.1,.400,1.0,2.0,.483,.542,0.3,0.4,.727,0.0,0.7,0.7,1.8,0.5,0.0,0.9,0.6,4.7,Jannero Pargo,6-1
2014-15,35.0,CHO,NBA,G,9,0,8.1,1.7,3.9,.429,1.0,2.4,.409,0.7,1.4,.462,.557,0.2,0.2,1.000,0.0,0.3,0.3,0.9,0.0,0.0,0.3,0.9,4.6,Jannero Pargo,6-1
