Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Ht
1974-75,23.0,WSB,NBA,F-C,76.0,,13.1,2.5,5.2,0.486,,,,2.5,5.2,0.486,0.486,0.8,1.5,0.522,1.2,2.7,4.0,0.5,0.5,0.4,,1.7,5.8,Truck Robinson,6-7
1975-76,24.0,WSB,NBA,F-C,82.0,,25.1,4.3,9.5,0.454,,,,4.3,9.5,0.454,0.454,2.6,3.8,0.672,1.7,5.1,6.8,1.4,0.5,1.3,,2.9,11.2,Truck Robinson,6-7
1976-77,25.0,TOT,NBA,F-C,77.0,,36.1,7.5,15.6,0.478,,,,7.5,15.6,0.478,0.478,4.1,5.6,0.73,3.3,7.5,10.8,1.8,0.9,0.5,,3.3,19.0,Truck Robinson,6-7
1977-78,26.0,NOJ,NBA,F-C,82.0,,44.4,9.1,20.5,0.444,,,,9.1,20.5,0.444,0.444,4.5,7.0,0.64,3.6,12.1,15.7,2.1,0.9,1.0,3.7,3.2,22.7,Truck Robinson,6-7
1978-79,27.0,TOT,NBA,F-C,69.0,,36.8,8.2,16.7,0.491,,,,8.2,16.7,0.491,0.491,4.7,6.7,0.701,2.8,8.8,11.6,1.6,0.7,1.1,3.4,3.0,21.1,Truck Robinson,6-7
1979-80,28.0,PHO,NBA,F-C,82.0,,33.0,6.6,13.0,0.512,0.0,0.0,,6.6,13.0,0.512,0.512,4.0,5.9,0.667,2.6,6.8,9.4,1.7,0.7,0.7,3.1,3.2,17.3,Truck Robinson,6-7
1980-81,29.0,PHO,NBA,F-C,82.0,,37.7,7.9,15.6,0.505,0.0,0.0,,7.9,15.6,0.505,0.505,3.0,4.8,0.629,2.6,7.0,9.6,2.5,0.8,0.5,3.0,2.7,18.8,Truck Robinson,6-7
1981-82,30.0,PHO,NBA,F-C,74.0,72.0,37.1,7.8,15.2,0.513,0.0,0.0,1.0,7.8,15.2,0.513,0.514,3.4,5.0,0.687,2.7,7.0,9.7,2.4,0.6,0.4,2.7,2.9,19.1,Truck Robinson,6-7
1982-83,31.0,NYK,NBA,F-C,81.0,76.0,30.0,4.0,8.7,0.462,0.0,0.0,,4.0,8.7,0.462,0.462,1.5,2.5,0.587,2.5,5.7,8.1,1.8,0.7,0.3,2.3,3.0,9.5,Truck Robinson,6-7
1983-84,32.0,NYK,NBA,F-C,65.0,63.0,32.8,4.4,8.9,0.489,0.0,0.0,,4.4,8.9,0.489,0.489,2.0,3.2,0.646,2.6,5.8,8.4,1.4,0.7,0.4,2.5,3.3,10.8,Truck Robinson,6-7
1984-85,33.0,NYK,NBA,F-C,2.0,1.0,17.5,1.0,2.5,0.4,0.0,0.0,,1.0,2.5,0.4,0.4,0.0,1.0,0.0,3.0,1.5,4.5,1.5,1.0,1.5,2.5,1.5,2.0,Truck Robinson,6-7
