Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Ht
2013-14,20.0,ATL,NBA,G,49.0,0.0,13.1,1.5,3.8,0.383,0.2,0.9,0.238,1.3,3.0,0.425,0.41,0.6,0.9,0.674,0.1,1.1,1.2,1.9,0.3,0.0,1.2,1.1,3.7,Dennis Schroder,6-3
2014-15,21.0,ATL,NBA,G,77.0,10.0,19.7,3.7,8.6,0.427,0.7,1.9,0.351,3.0,6.7,0.449,0.466,1.9,2.3,0.827,0.4,1.8,2.1,4.1,0.6,0.1,1.9,1.6,10.0,Dennis Schroder,6-3
2015-16,22.0,ATL,NBA,G,80.0,6.0,20.3,4.1,9.8,0.421,1.0,3.0,0.322,3.2,6.8,0.465,0.471,1.8,2.3,0.791,0.3,2.2,2.6,4.4,0.9,0.1,2.3,1.7,11.0,Dennis Schroder,6-3
2016-17,23.0,ATL,NBA,G,79.0,78.0,31.5,6.9,15.4,0.451,1.3,3.7,0.34,5.7,11.6,0.487,0.493,2.8,3.2,0.855,0.5,2.6,3.1,6.3,0.9,0.2,3.3,1.9,17.9,Dennis Schroder,6-3
2017-18,24.0,ATL,NBA,G,67.0,67.0,31.0,7.5,17.1,0.436,1.1,3.9,0.29,6.3,13.2,0.48,0.469,3.4,4.0,0.849,0.7,2.4,3.1,6.2,1.1,0.1,2.7,2.2,19.4,Dennis Schroder,6-3
2018-19,25.0,OKC,NBA,G,79.0,14.0,29.3,5.8,14.0,0.414,1.6,4.6,0.341,4.2,9.4,0.45,0.47,2.4,2.9,0.819,0.5,3.1,3.6,4.1,0.8,0.2,2.2,2.4,15.5,Dennis Schroder,6-3
2019-20,26.0,OKC,NBA,G,65.0,2.0,30.8,7.0,14.8,0.469,1.9,5.0,0.385,5.0,9.8,0.513,0.534,3.0,3.6,0.839,0.3,3.3,3.6,4.0,0.7,0.2,2.6,2.2,18.9,Dennis Schroder,6-3
2020-21,27.0,LAL,NBA,G,61.0,61.0,32.1,5.4,12.5,0.437,1.2,3.5,0.335,4.3,9.0,0.476,0.484,3.4,4.0,0.848,0.5,3.0,3.5,5.8,1.1,0.2,2.7,2.6,15.4,Dennis Schroder,6-3
2021-22,28.0,TOT,NBA,G,64.0,29.0,28.7,4.9,11.3,0.431,1.3,3.9,0.344,3.5,7.4,0.477,0.49,2.5,2.9,0.853,0.5,2.8,3.3,4.6,0.8,0.1,2.2,2.4,13.5,Dennis Schroder,6-3
2022-23,29.0,LAL,NBA,G,61.0,49.0,30.6,4.2,10.0,0.419,1.2,3.5,0.341,3.0,6.5,0.461,0.479,3.3,3.8,0.871,0.3,2.3,2.5,4.6,0.8,0.1,1.7,2.2,13.0,Dennis Schroder,6-3
