Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Player,Ht
1954-55,23.0,TOT,NBA,G,62.0,,15.3,1.6,4.7,0.346,1.0,1.3,0.756,2.5,1.4,1.0,4.2,Gene Shue,6-2
1955-56,24.0,NYK,NBA,G,72.0,,24.3,3.3,8.7,0.384,2.5,3.3,0.764,2.9,2.5,1.5,9.2,Gene Shue,6-2
1956-57,25.0,FTW,NBA,G,72.0,,34.3,3.8,9.9,0.385,3.3,4.4,0.763,5.8,3.3,1.9,10.9,Gene Shue,6-2
1957-58,26.0,DET,NBA,G,63.0,,37.0,5.6,14.6,0.384,4.4,5.2,0.844,5.3,2.7,2.4,15.6,Gene Shue,6-2
1958-59,27.0,DET,NBA,G,72.0,,38.1,6.4,16.6,0.388,4.7,5.8,0.803,4.7,3.2,1.8,17.6,Gene Shue,6-2
1959-60,28.0,DET,NBA,G,75.0,,44.5,8.3,20.0,0.413,6.3,7.2,0.872,5.5,3.9,1.9,22.8,Gene Shue,6-2
1960-61,29.0,DET,NBA,G,78.0,,43.1,8.3,19.8,0.421,6.0,7.0,0.856,4.3,6.8,2.7,22.6,Gene Shue,6-2
1961-62,30.0,DET,NBA,G,80.0,,39.3,7.3,17.8,0.408,4.5,5.6,0.81,4.7,5.8,2.4,19.0,Gene Shue,6-2
1962-63,31.0,NYK,NBA,G,78.0,,29.3,4.5,11.5,0.396,2.7,3.9,0.689,2.4,3.3,2.2,11.7,Gene Shue,6-2
1963-64,32.0,BAL,NBA,G,47.0,,20.5,1.7,5.9,0.293,0.8,1.3,0.59,2.0,3.2,2.1,4.2,Gene Shue,6-2
