Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Ht
1969-70,22.0,CIN,NBA,G,81.0,,35.7,3.7,9.2,0.403,2.0,2.8,0.741,,,5.0,6.2,,,,4.1,9.5,Norm Van Lier,6-1
1970-71,23.0,CIN,NBA,G,82.0,,40.5,5.8,13.9,0.42,4.4,5.4,0.816,,,7.1,10.1,,,,4.2,16.0,Norm Van Lier,6-1
1971-72,24.0,TOT,NBA,G,79.0,,30.6,4.2,9.6,0.439,3.0,3.8,0.79,,,4.5,6.9,,,,3.0,11.5,Norm Van Lier,6-1
1972-73,25.0,CHI,NBA,G,80.0,,36.0,5.9,13.3,0.445,2.1,2.6,0.787,,,5.5,7.1,,,,3.4,13.9,Norm Van Lier,6-1
1973-74,26.0,CHI,NBA,G,80.0,,35.8,5.3,13.1,0.406,3.6,4.6,0.778,1.4,3.3,4.7,6.9,2.0,0.1,,3.5,14.3,Norm Van Lier,6-1
1974-75,27.0,CHI,NBA,G,70.0,,37.0,5.8,13.9,0.42,3.4,4.3,0.792,1.2,3.5,4.7,5.8,2.0,0.2,,3.5,15.0,Norm Van Lier,6-1
1975-76,28.0,CHI,NBA,G,76.0,,39.8,4.8,13.0,0.366,3.1,4.2,0.737,1.8,3.6,5.4,6.6,2.0,0.3,,3.9,12.6,Norm Van Lier,6-1
1976-77,29.0,CHI,NBA,G,82.0,,37.8,3.7,8.9,0.412,2.9,3.7,0.778,1.3,3.2,4.5,7.8,1.6,0.2,,3.3,10.2,Norm Van Lier,6-1
1977-78,30.0,CHI,NBA,G,78.0,,32.4,2.6,6.1,0.419,2.2,2.9,0.751,1.1,2.5,3.6,6.8,1.8,0.1,2.6,3.6,7.3,Norm Van Lier,6-1
1978-79,31.0,MIL,NBA,G,38.0,,14.6,0.8,2.0,0.39,1.2,1.4,0.904,0.2,0.8,1.1,4.2,1.1,0.1,1.3,2.8,2.8,Norm Van Lier,6-1
