Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Player,Ht
1966-67,22.0,CIN,NBA,C,64.0,,14.2,2.0,5.2,0.393,0.8,1.9,0.423,,,5.1,0.3,,,2.5,4.9,Walt Wesley,6-11
1967-68,23.0,CIN,NBA,C,66.0,,13.9,2.8,6.1,0.465,1.2,2.3,0.5,,,4.3,0.5,,,2.5,6.8,Walt Wesley,6-11
1968-69,24.0,CIN,NBA,C,82.0,,16.3,3.0,6.5,0.459,1.6,2.5,0.647,,,4.9,0.6,,,2.3,7.6,Walt Wesley,6-11
1969-70,25.0,CHI,NBA,C,72.0,,19.5,3.8,9.0,0.417,2.0,3.0,0.662,,,6.3,0.9,,,2.6,9.5,Walt Wesley,6-11
1970-71,26.0,CLE,NBA,C,82.0,,29.6,6.9,15.1,0.455,4.0,5.8,0.687,,,8.7,1.0,,,3.6,17.7,Walt Wesley,6-11
1971-72,27.0,CLE,NBA,C,82.0,,26.6,5.0,12.3,0.41,2.4,3.5,0.674,,,8.7,0.9,,,3.0,12.4,Walt Wesley,6-11
1972-73,28.0,TOT,NBA,C,57.0,,8.3,1.4,3.5,0.381,0.5,0.8,0.565,,,2.6,0.5,,,1.4,3.2,Walt Wesley,6-11
1973-74,29.0,CAP,NBA,C,39.0,,10.3,1.8,3.9,0.47,0.7,1.1,0.605,1.6,1.9,3.5,0.4,0.2,0.5,1.9,4.3,Walt Wesley,6-11
1974-75,30.0,TOT,NBA,C,45.0,,5.5,0.9,2.1,0.452,0.4,0.6,0.593,0.4,1.0,1.4,0.3,0.2,0.1,1.1,2.2,Walt Wesley,6-11
1975-76,31.0,LAL,NBA,C,1.0,,7.0,1.0,2.0,0.5,2.0,4.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,2.0,4.0,Walt Wesley,6-11
