Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Ht
1978-79,22.0,SDC,NBA,C-F,31.0,,4.9,0.5,1.1,0.441,,,,0.5,1.1,0.441,0.441,0.3,0.6,0.444,0.5,1.1,1.6,0.2,0.1,0.1,0.4,0.9,1.2,Jerome Whitehead,6-10
1979-80,23.0,TOT,NBA,C-F,50.0,,11.1,1.2,2.3,0.509,0.0,0.0,,1.2,2.3,0.509,0.509,0.2,0.7,0.286,1.1,2.2,3.3,0.5,0.2,0.3,0.7,1.9,2.5,Jerome Whitehead,6-10
1980-81,24.0,TOT,NBA,C-F,48.0,,14.3,1.7,3.8,0.461,0.0,0.0,0.0,1.7,3.7,0.464,0.461,0.6,1.2,0.5,1.2,3.3,4.5,0.5,0.4,0.2,1.2,2.5,4.0,Jerome Whitehead,6-10
1981-82,25.0,SDC,NBA,C-F,72.0,63.0,30.8,5.6,10.1,0.559,0.0,0.0,,5.6,10.1,0.559,0.559,2.6,3.3,0.763,3.2,6.0,9.2,1.4,0.7,0.6,2.0,4.0,13.8,Jerome Whitehead,6-10
1982-83,26.0,SDC,NBA,C-F,46.0,23.0,19.7,3.6,6.7,0.536,0.0,0.0,,3.6,6.7,0.536,0.536,1.6,1.9,0.828,2.3,3.4,5.7,0.9,0.5,0.3,1.4,3.0,8.7,Jerome Whitehead,6-10
1983-84,27.0,SDC,NBA,C-F,70.0,1.0,13.2,2.1,4.2,0.49,0.0,0.0,,2.1,4.2,0.49,0.49,1.3,1.5,0.822,1.3,2.2,3.5,0.3,0.2,0.2,0.8,2.3,5.4,Jerome Whitehead,6-10
1984-85,28.0,GSW,NBA,C-F,79.0,78.0,32.1,5.3,10.4,0.51,0.0,0.0,,5.3,10.4,0.51,0.51,2.3,3.0,0.783,2.8,5.1,7.9,0.7,0.6,0.5,1.8,4.1,13.0,Jerome Whitehead,6-10
1985-86,29.0,GSW,NBA,C-F,81.0,3.0,13.3,1.6,3.6,0.429,0.0,0.0,,1.6,3.6,0.429,0.429,0.7,1.2,0.619,1.2,2.9,4.0,0.2,0.2,0.2,0.8,2.2,3.9,Jerome Whitehead,6-10
1986-87,30.0,GSW,NBA,C-F,73.0,1.0,12.8,2.0,4.5,0.45,0.0,0.0,0.0,2.0,4.5,0.451,0.45,1.1,1.5,0.699,1.5,2.1,3.6,0.3,0.2,0.2,0.7,2.4,5.1,Jerome Whitehead,6-10
1987-88,31.0,GSW,NBA,C-F,72.0,27.0,17.0,2.4,5.0,0.483,0.0,0.0,,2.4,5.0,0.483,0.483,0.8,1.1,0.72,1.5,2.9,4.5,0.5,0.4,0.3,0.7,2.9,5.7,Jerome Whitehead,6-10
1988-89,32.0,TOT,NBA,C-F,57.0,4.0,10.9,1.3,3.2,0.396,0.0,0.0,,1.3,3.2,0.396,0.396,0.5,0.8,0.66,0.9,1.5,2.4,0.3,0.4,0.1,0.4,2.0,3.1,Jerome Whitehead,6-10
