Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Player,Ht
1960-61,23.0,STL,NBA,G,75.0,,25.3,4.4,10.4,0.425,2.9,4.0,0.713,,,4.5,2.8,,,2.9,11.7,Lenny Wilkens,6-1
1961-62,24.0,STL,NBA,G,20.0,,43.5,7.0,18.2,0.385,4.2,5.5,0.764,,,6.6,5.8,,,3.2,18.2,Lenny Wilkens,6-1
1962-63,25.0,STL,NBA,G,75.0,,34.3,4.4,11.1,0.399,3.0,4.3,0.696,,,5.4,5.1,,,3.4,11.8,Lenny Wilkens,6-1
1963-64,26.0,STL,NBA,G,78.0,,32.4,4.3,10.4,0.413,3.5,4.7,0.74,,,4.3,4.6,,,3.7,12.0,Lenny Wilkens,6-1
1964-65,27.0,STL,NBA,G,78.0,,36.6,5.6,13.4,0.414,5.3,7.2,0.746,,,4.7,5.5,,,3.6,16.5,Lenny Wilkens,6-1
1965-66,28.0,STL,NBA,G,69.0,,39.0,6.0,13.8,0.431,6.1,7.7,0.793,,,4.7,6.2,,,3.6,18.0,Lenny Wilkens,6-1
1966-67,29.0,STL,NBA,G,78.0,,38.1,5.7,13.3,0.432,5.9,7.5,0.787,,,5.3,5.7,,,3.6,17.4,Lenny Wilkens,6-1
1967-68,30.0,STL,NBA,G,82.0,,38.6,6.7,15.2,0.438,6.7,8.7,0.768,,,5.3,8.3,,,3.1,20.0,Lenny Wilkens,6-1
1968-69,31.0,SEA,NBA,G,82.0,,42.2,7.9,17.8,0.44,6.7,8.7,0.77,,,6.2,8.2,,,3.6,22.4,Lenny Wilkens,6-1
1969-70,32.0,SEA,NBA,G,75.0,,37.4,6.0,14.2,0.42,5.8,7.4,0.788,,,5.0,9.1,,,2.8,17.8,Lenny Wilkens,6-1
1970-71,33.0,SEA,NBA,G,71.0,,37.2,6.6,15.8,0.419,6.5,8.1,0.803,,,4.5,9.2,,,2.8,19.8,Lenny Wilkens,6-1
1971-72,34.0,SEA,NBA,G,80.0,,37.4,6.0,12.8,0.466,6.0,7.8,0.774,,,4.2,9.6,,,2.6,18.0,Lenny Wilkens,6-1
1972-73,35.0,CLE,NBA,G,75.0,,39.6,7.6,17.0,0.449,5.3,6.3,0.828,,,4.6,8.4,,,2.9,20.5,Lenny Wilkens,6-1
1973-74,36.0,CLE,NBA,G,74.0,,33.6,6.2,13.4,0.465,3.9,4.9,0.801,1.1,2.7,3.7,7.1,1.3,0.2,2.2,16.4,Lenny Wilkens,6-1
1974-75,37.0,POR,NBA,G,65.0,,17.9,2.1,4.7,0.439,2.3,3.0,0.768,0.6,1.3,1.8,3.6,1.2,0.1,1.5,6.5,Lenny Wilkens,6-1
