Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Player,Ht
1946-47,21.0,CHS,BAA,G-F,61.0,,,5.5,16.7,0.329,3.4,4.6,0.737,,0.7,2.0,14.4,Max Zaslofsky,6-2
1947-48,22.0,CHS,BAA,G-F,48.0,,,7.8,24.1,0.323,5.4,6.9,0.784,,0.6,2.6,21.0,Max Zaslofsky,6-2
1948-49,23.0,CHS,BAA,G-F,58.0,,,7.3,21.0,0.35,6.0,7.1,0.84,,2.6,2.7,20.6,Max Zaslofsky,6-2
1949-50,24.0,CHS,NBA,G-F,68.0,,,5.8,16.6,0.351,4.7,5.6,0.843,,2.3,2.7,16.4,Max Zaslofsky,6-2
1950-51,25.0,NYK,NBA,G-F,66.0,,,4.6,12.9,0.354,3.5,4.5,0.775,3.5,2.1,2.3,12.7,Max Zaslofsky,6-2
1951-52,26.0,NYK,NBA,G-F,66.0,,32.0,4.9,14.5,0.336,4.3,5.8,0.755,2.9,2.4,2.8,14.1,Max Zaslofsky,6-2
1952-53,27.0,NYK,NBA,G-F,29.0,,24.9,4.2,11.0,0.384,3.4,4.9,0.69,2.6,1.9,2.8,11.9,Max Zaslofsky,6-2
1953-54,28.0,TOT,NBA,G-F,65.0,,28.9,4.3,11.6,0.368,3.9,5.5,0.714,2.5,2.4,2.2,12.5,Max Zaslofsky,6-2
1954-55,29.0,FTW,NBA,G-F,70.0,,26.6,3.8,11.7,0.328,3.5,5.0,0.702,2.7,2.9,1.9,11.2,Max Zaslofsky,6-2
1955-56,30.0,FTW,NBA,G-F,9.0,,20.2,3.2,9.0,0.358,3.3,3.9,0.857,1.8,1.8,2.0,9.8,Max Zaslofsky,6-2
