Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1968-69,22.0,SDR,NBA,PG,77.0,,18.8,2.3,5.8,0.394,1.7,2.6,0.642,,,2.8,3.1,,,2.1,6.3
1969-70,23.0,SDR,NBA,PG,35.0,,20.5,2.7,7.1,0.389,1.9,2.6,0.747,,,2.3,3.2,,,2.6,7.4
1970-71,24.0,POR,NBA,PG,81.0,,28.4,4.7,11.0,0.422,3.3,4.6,0.724,,,3.5,4.7,,,2.6,12.6
1971-72,25.0,POR,NBA,PG,80.0,,30.6,4.1,9.4,0.437,1.9,2.5,0.751,,,2.9,5.2,,,2.6,10.1
1972-73,26.0,POR,NBA,PG,76.0,,24.0,2.8,6.9,0.408,1.0,1.3,0.716,,,2.1,3.9,,,2.0,6.6
1973-74,27.0,CHI,NBA,PG,55.0,,11.2,1.2,3.1,0.376,1.0,1.4,0.711,0.3,1.0,1.3,1.0,0.7,0.0,1.1,3.3
1974-75,28.0,TOT,NBA,PG,58.0,,18.5,2.1,5.0,0.423,1.3,1.8,0.709,0.4,1.2,1.6,1.9,1.2,0.1,1.7,5.5
1974-75,28.0,CHI,NBA,PG,12.0,,28.3,3.6,8.7,0.413,2.3,3.3,0.718,0.5,1.7,2.2,2.9,1.3,0.1,2.6,9.5
1974-75,28.0,NOJ,NBA,PG,28.0,,21.9,2.4,5.7,0.421,1.5,2.1,0.695,0.5,1.5,2.0,2.5,1.7,0.2,2.1,6.3
1974-75,28.0,KCO,NBA,PG,18.0,,6.7,0.7,1.6,0.464,0.2,0.3,0.8,0.3,0.4,0.8,0.4,0.4,0.1,0.7,1.7
Career,,,NBA,,462.0,,22.6,3.0,7.2,0.415,1.8,2.5,0.713,0.4,1.1,2.4,3.5,0.9,0.1,2.1,7.7
,,,,,,,,,,,,,,,,,,,,,
3 seasons,,POR,NBA,,237.0,,27.7,3.9,9.2,0.424,2.1,2.8,0.731,,,2.8,4.6,,,2.4,9.8
2 seasons,,SDR,NBA,,112.0,,19.3,2.4,6.2,0.392,1.8,2.6,0.675,,,2.7,3.1,,,2.2,6.7
2 seasons,,CHI,NBA,,67.0,,14.3,1.6,4.1,0.391,1.2,1.7,0.713,0.3,1.1,1.4,1.4,0.8,0.0,1.4,4.4
1 season,,NOJ,NBA,,28.0,,21.9,2.4,5.7,0.421,1.5,2.1,0.695,0.5,1.5,2.0,2.5,1.7,0.2,2.1,6.3
1 season,,KCO,NBA,,18.0,,6.7,0.7,1.6,0.464,0.2,0.3,0.8,0.3,0.4,0.8,0.4,0.4,0.1,0.7,1.7
