Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1970-71,22.0,NYA,ABA,C,73.0,,14.1,2.4,5.2,0.455,0.0,0.0,0.0,2.4,5.2,0.459,0.455,1.1,1.8,0.598,1.5,3.1,4.6,0.5,,,1.5,1.6,5.8
1971-72,23.0,NYA,ABA,C,71.0,,16.1,2.2,5.0,0.45,0.0,0.1,0.25,2.2,4.9,0.455,0.453,1.1,1.8,0.606,1.7,3.4,5.2,0.5,,,1.4,2.1,5.6
1972-73,24.0,NYA,ABA,C,42.0,,10.1,1.3,3.3,0.379,0.0,0.1,0.0,1.3,3.2,0.39,0.379,0.8,1.2,0.68,1.1,2.4,3.5,0.3,,,0.7,1.2,3.3
1973-74,25.0,MMT,ABA,C,27.0,,18.6,2.4,6.1,0.402,0.1,0.1,1.0,2.4,6.0,0.395,0.409,1.5,1.9,0.784,1.8,4.1,5.9,1.5,0.6,0.9,1.6,1.6,6.4
1974-75,26.0,BOS,NBA,C,59.0,,12.2,1.5,4.5,0.335,,,,1.5,4.5,0.335,0.335,0.8,1.1,0.738,1.0,2.4,3.4,0.7,0.2,0.5,,1.6,3.8
1975-76,27.0,BOS,NBA,C,81.0,,10.5,1.3,3.6,0.364,,,,1.3,3.6,0.364,0.364,0.9,1.2,0.71,1.2,2.4,3.6,0.6,0.1,0.4,,1.7,3.5
1976-77,28.0,BOS,NBA,C,63.0,,15.4,1.5,4.0,0.378,,,,1.5,4.0,0.378,0.378,0.8,1.2,0.645,1.2,3.5,4.7,0.8,0.3,0.4,,2.0,3.8
1977-78,29.0,TOT,NBA,C,15.0,,8.3,0.5,1.1,0.471,,,,0.5,1.1,0.471,0.471,0.2,0.3,0.6,0.6,1.8,2.4,0.5,0.0,0.0,0.9,1.3,1.3
1977-78,29.0,BOS,NBA,C,1.0,,9.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0
1977-78,29.0,CHI,NBA,C,14.0,,8.3,0.6,1.1,0.5,,,,0.6,1.1,0.5,0.5,0.1,0.2,0.667,0.6,1.7,2.3,0.5,0.0,0.0,1.0,1.3,1.3
Career,,,TOT,,431.0,,13.4,1.7,4.3,0.402,0.0,0.1,0.235,1.7,4.3,0.404,0.403,0.9,1.4,0.662,1.3,2.9,4.3,0.6,0.2,0.5,1.3,1.7,4.4
,,,NBA,,218.0,,12.2,1.4,3.8,0.361,,,,1.4,3.8,0.361,0.361,0.8,1.1,0.695,1.1,2.7,3.8,0.7,0.2,0.4,0.9,1.8,3.5
,,,ABA,,213.0,,14.6,2.1,4.9,0.435,0.0,0.1,0.235,2.1,4.8,0.438,0.437,1.1,1.7,0.639,1.6,3.2,4.8,0.6,0.6,0.9,1.3,1.7,5.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,BOS,NBA,,204.0,,12.5,1.4,4.0,0.358,,,,1.4,4.0,0.358,0.358,0.8,1.2,0.695,1.1,2.7,3.9,0.7,0.2,0.5,0.0,1.8,3.7
3 seasons,,NYA,ABA,,186.0,,14.0,2.1,4.7,0.441,0.0,0.1,0.133,2.1,4.6,0.447,0.442,1.0,1.7,0.615,1.5,3.1,4.6,0.5,,,1.3,1.7,5.2
1 season,,MMT,ABA,,27.0,,18.6,2.4,6.1,0.402,0.1,0.1,1.0,2.4,6.0,0.395,0.409,1.5,1.9,0.784,1.8,4.1,5.9,1.5,0.6,0.9,1.6,1.6,6.4
1 season,,CHI,NBA,,14.0,,8.3,0.6,1.1,0.5,,,,0.6,1.1,0.5,0.5,0.1,0.2,0.667,0.6,1.7,2.3,0.5,0.0,0.0,1.0,1.3,1.3
