Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1966-67,22.0,BOS,NBA,SG,48.0,,8.0,1.6,4.4,0.37,0.9,1.3,0.677,,,1.1,0.9,,,1.3,4.1
1967-68,23.0,SDR,NBA,SG,47.0,,22.7,3.8,9.7,0.393,1.8,2.5,0.712,,,3.3,2.9,,,2.1,9.4
1968-69,24.0,SDR,NBA,SG,80.0,,29.3,5.8,13.7,0.425,2.9,3.9,0.752,,,4.5,4.2,,,3.0,14.5
1969-70,25.0,SDR,NBA,SG,80.0,,26.3,5.6,12.5,0.451,3.6,4.6,0.79,,,3.8,3.6,,,2.8,14.9
1970-71,26.0,POR,NBA,SG,78.0,,30.4,7.2,16.4,0.436,4.2,5.2,0.811,,,4.8,4.1,,,2.4,18.5
1971-72,27.0,GSW,NBA,PG,80.0,,27.5,4.7,11.4,0.409,3.1,3.7,0.836,,,3.1,3.9,,,2.4,12.4
1972-73,28.0,GSW,NBA,PG,82.0,,27.0,4.8,10.3,0.467,2.2,2.6,0.843,,,3.1,3.7,,,1.8,11.8
1973-74,29.0,GSW,NBA,SG,77.0,,21.9,4.5,9.8,0.464,2.4,2.9,0.814,1.0,1.9,2.9,2.7,0.7,0.1,1.9,11.5
1974-75,30.0,TOT,NBA,SG,73.0,,24.3,3.9,8.9,0.437,2.7,3.3,0.836,0.8,1.6,2.5,2.4,0.6,0.2,2.2,10.5
1974-75,30.0,NOJ,NBA,SG,45.0,,27.5,4.8,10.7,0.448,3.5,4.2,0.83,1.0,1.8,2.8,3.0,0.8,0.4,2.4,13.0
1974-75,30.0,NYK,NBA,SG,28.0,,19.2,2.5,6.1,0.407,1.5,1.8,0.86,0.5,1.3,1.8,1.4,0.4,0.0,1.8,6.5
1975-76,31.0,NYK,NBA,SG,71.0,,14.5,2.3,5.2,0.442,1.3,1.6,0.789,0.7,0.6,1.2,1.3,0.3,0.0,1.2,5.9
1976-77,32.0,PHI,NBA,SG,16.0,,14.4,1.8,4.0,0.438,0.6,1.1,0.556,0.4,0.4,0.9,1.4,0.3,0.0,1.8,4.1
Career,,,NBA,,732.0,,23.8,4.5,10.4,0.435,2.6,3.2,0.797,0.8,1.3,3.1,3.0,0.6,0.1,2.1,11.7
,,,,,,,,,,,,,,,,,,,,,
3 seasons,,GSW,NBA,,239.0,,25.5,4.7,10.5,0.445,2.6,3.1,0.831,1.0,1.9,3.0,3.4,0.7,0.1,2.0,11.9
3 seasons,,SDR,NBA,,207.0,,26.7,5.3,12.3,0.43,2.9,3.8,0.763,,,4.0,3.7,,,2.7,13.5
2 seasons,,NYK,NBA,,99.0,,15.8,2.4,5.5,0.431,1.3,1.7,0.811,0.6,0.8,1.4,1.3,0.4,0.0,1.4,6.1
1 season,,POR,NBA,,78.0,,30.4,7.2,16.4,0.436,4.2,5.2,0.811,,,4.8,4.1,,,2.4,18.5
1 season,,BOS,NBA,,48.0,,8.0,1.6,4.4,0.37,0.9,1.3,0.677,,,1.1,0.9,,,1.3,4.1
1 season,,NOJ,NBA,,45.0,,27.5,4.8,10.7,0.448,3.5,4.2,0.83,1.0,1.8,2.8,3.0,0.8,0.4,2.4,13.0
1 season,,PHI,NBA,,16.0,,14.4,1.8,4.0,0.438,0.6,1.1,0.556,0.4,0.4,0.9,1.4,0.3,0.0,1.8,4.1
