Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1962-63,24.0,STL,NBA,SG,77.0,,35.0,4.7,10.9,0.43,,,,4.7,10.9,0.43,0.43,2.4,3.3,0.71,,,4.7,4.2,,,2.2,11.7
1963-64,25.0,STL,NBA,SG,74.0,,18.5,2.8,6.8,0.412,,,,2.8,6.8,0.412,0.412,0.9,1.6,0.609,,,2.1,2.0,,,1.4,6.6
1964-65,26.0,STL,NBA,SG,41.0,,19.0,3.0,7.6,0.388,,,,3.0,7.6,0.388,0.388,1.1,1.7,0.643,,,2.2,1.9,,,1.4,7.0
1965-66,27.0,TOT,NBA,PG,76.0,,21.3,3.2,8.0,0.401,,,,3.2,8.0,0.401,0.401,1.5,2.4,0.614,,,2.7,2.6,,,1.8,7.9
1965-66,27.0,STL,NBA,PG,31.0,,22.3,3.4,7.8,0.428,,,,3.4,7.8,0.428,0.428,1.7,2.8,0.628,,,2.9,2.7,,,1.9,8.5
1965-66,27.0,DET,NBA,PG,45.0,,20.6,3.1,8.1,0.383,,,,3.1,8.1,0.383,0.383,1.3,2.2,0.602,,,2.5,2.5,,,1.7,7.5
1966-67,28.0,BAL,NBA,PG,53.0,,22.9,3.5,8.4,0.418,,,,3.5,8.4,0.418,0.418,1.2,1.9,0.641,,,3.0,2.6,,,1.5,8.3
1967-68,29.0,SDR,NBA,PG,75.0,,25.1,3.9,9.3,0.421,,,,3.9,9.3,0.421,0.421,2.1,3.1,0.658,,,2.3,3.5,,,1.9,9.9
1968-69,30.0,BAL,NBA,PG,30.0,,16.8,2.5,5.8,0.434,,,,2.5,5.8,0.434,0.434,1.3,2.2,0.6,,,1.8,2.4,,,2.1,6.4
1969-70,31.0,INA,ABA,SG,77.0,,30.8,4.2,10.7,0.394,0.9,3.5,0.261,3.3,7.2,0.46,0.438,2.1,3.1,0.664,0.8,1.5,2.2,4.1,,2.0,2.5,11.4
1970-71,32.0,TOT,ABA,PG,67.0,,19.4,2.7,7.4,0.365,0.5,2.2,0.218,2.2,5.2,0.427,0.397,1.4,2.0,0.716,0.7,1.0,1.7,2.4,,1.2,1.6,7.3
1970-71,32.0,INA,ABA,PG,43.0,,14.4,1.9,5.6,0.332,0.3,1.7,0.187,1.5,3.9,0.398,0.361,1.0,1.4,0.689,0.6,0.8,1.4,1.9,,0.9,1.2,5.0
1970-71,32.0,DNR,ABA,PG,24.0,,28.5,4.2,10.6,0.396,0.8,3.0,0.25,3.5,7.6,0.454,0.431,2.3,3.0,0.74,0.8,1.4,2.3,3.2,,1.7,2.3,11.4
1971-72,33.0,INA,ABA,PG,19.0,,10.2,1.5,4.6,0.322,0.2,1.8,0.114,1.3,2.7,0.462,0.345,0.4,0.8,0.533,0.4,0.6,1.0,0.8,,0.6,0.8,3.6
Career,,,TOT,,589.0,,23.6,3.4,8.5,0.406,0.7,2.8,0.236,3.3,7.7,0.423,0.416,1.6,2.4,0.658,0.7,1.2,2.5,2.9,,1.5,1.8,8.6
,,,NBA,,426.0,,23.6,3.5,8.4,0.416,,,,3.5,8.4,0.416,0.416,1.6,2.4,0.651,,,2.8,2.8,,,1.8,8.6
,,,ABA,,163.0,,23.7,3.3,8.6,0.38,0.7,2.8,0.236,2.6,5.8,0.448,0.418,1.6,2.4,0.677,0.7,1.2,1.9,3.0,,1.5,2.0,8.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,STL,NBA,,223.0,,24.8,3.6,8.5,0.418,,,,3.6,8.5,0.418,0.418,1.6,2.4,0.665,,,3.1,2.8,,,1.7,8.7
3 seasons,,INA,ABA,,139.0,,22.9,3.1,8.3,0.376,0.6,2.7,0.233,2.5,5.5,0.447,0.414,1.5,2.3,0.662,0.7,1.1,1.8,3.0,,1.5,1.9,8.4
2 seasons,,BAL,NBA,,83.0,,20.7,3.2,7.5,0.423,,,,3.2,7.5,0.423,0.423,1.3,2.0,0.625,,,2.5,2.5,,,1.7,7.6
1 season,,SDR,NBA,,75.0,,25.1,3.9,9.3,0.421,,,,3.9,9.3,0.421,0.421,2.1,3.1,0.658,,,2.3,3.5,,,1.9,9.9
1 season,,DET,NBA,,45.0,,20.6,3.1,8.1,0.383,,,,3.1,8.1,0.383,0.383,1.3,2.2,0.602,,,2.5,2.5,,,1.7,7.5
1 season,,DNR,ABA,,24.0,,28.5,4.2,10.6,0.396,0.8,3.0,0.25,3.5,7.6,0.454,0.431,2.3,3.0,0.74,0.8,1.4,2.3,3.2,,1.7,2.3,11.4
