Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1949-50,25.0,CHS,NBA,SF,67.0,,,2.6,7.4,0.349,1.3,1.9,0.698,,2.1,2.9,6.5
1950-51,26.0,INO,NBA,SF,68.0,,,3.4,9.9,0.346,1.2,1.8,0.689,4.4,3.2,2.9,8.0
1951-52,27.0,INO,NBA,SF,66.0,,35.5,5.3,13.6,0.389,1.8,2.8,0.652,6.5,3.9,3.0,12.4
1952-53,28.0,INO,NBA,SF,71.0,,40.4,5.7,14.6,0.389,2.3,3.6,0.629,6.8,3.9,3.5,13.6
1953-54,29.0,TOT,NBA,SF,72.0,,28.7,2.8,8.2,0.338,0.9,1.2,0.716,4.1,3.1,2.8,6.4
1953-54,29.0,BLB,NBA,SF,55.0,,34.2,3.4,9.7,0.352,1.1,1.5,0.707,4.7,3.9,3.1,7.9
1953-54,29.0,FTW,NBA,SF,17.0,,10.9,0.7,3.4,0.211,0.3,0.4,0.833,2.2,0.7,1.8,1.7
Career,,,NBA,,344.0,,34.8,3.9,10.7,0.368,1.5,2.3,0.665,5.4,3.2,3.0,9.4
,,,,,,,,,,,,,,,,,
3 seasons,,INO,NBA,,205.0,,38.1,4.8,12.7,0.378,1.8,2.8,0.65,5.9,3.7,3.1,11.4
1 season,,CHS,NBA,,67.0,,,2.6,7.4,0.349,1.3,1.9,0.698,,2.1,2.9,6.5
1 season,,BLB,NBA,,55.0,,34.2,3.4,9.7,0.352,1.1,1.5,0.707,4.7,3.9,3.1,7.9
1 season,,FTW,NBA,,17.0,,10.9,0.7,3.4,0.211,0.3,0.4,0.833,2.2,0.7,1.8,1.7
