Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1979-80,23.0,POR,NBA,SG,16.0,,14.7,4.5,9.1,0.493,0.5,1.2,0.421,4.0,7.9,0.504,0.521,1.8,2.4,0.718,0.8,1.0,1.8,1.9,0.9,0.1,1.3,1.6,11.3
1980-81,24.0,POR,NBA,SG,77.0,,20.3,5.7,11.7,0.487,0.2,0.7,0.259,5.5,11.0,0.501,0.494,2.2,2.6,0.854,0.9,1.1,2.0,2.5,1.1,0.1,1.9,1.6,13.8
1981-82,25.0,POR,NBA,SG,75.0,0.0,16.4,4.4,9.2,0.473,0.2,0.5,0.293,4.2,8.7,0.484,0.481,2.2,2.8,0.787,0.7,0.7,1.4,1.5,0.5,0.1,1.2,1.3,11.1
1982-83,26.0,TOT,NBA,SG,19.0,3.0,16.0,2.9,7.6,0.379,0.1,0.3,0.4,2.8,7.4,0.379,0.386,0.6,1.2,0.5,0.6,0.4,1.0,0.7,0.7,0.2,0.6,1.0,6.5
1982-83,26.0,WSB,NBA,SG,15.0,3.0,18.5,3.5,8.6,0.411,0.1,0.3,0.4,3.4,8.3,0.411,0.419,0.7,1.3,0.5,0.7,0.5,1.2,0.9,0.9,0.2,0.8,1.2,7.9
1982-83,26.0,LAL,NBA,SG,4.0,0.0,6.8,0.5,4.0,0.125,0.0,0.0,,0.5,4.0,0.125,0.125,0.3,0.5,0.5,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.3,1.3
Career,,,NBA,,187.0,3.0,17.8,4.8,10.1,0.474,0.2,0.6,0.303,4.6,9.4,0.485,0.483,2.0,2.5,0.796,0.8,0.9,1.7,1.9,0.8,0.1,1.5,1.4,11.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,POR,NBA,,168.0,0.0,18.0,5.0,10.4,0.482,0.2,0.7,0.298,4.8,9.7,0.494,0.491,2.2,2.7,0.811,0.8,0.9,1.8,2.0,0.8,0.1,1.6,1.5,12.3
1 season,,WSB,NBA,,15.0,3.0,18.5,3.5,8.6,0.411,0.1,0.3,0.4,3.4,8.3,0.411,0.419,0.7,1.3,0.5,0.7,0.5,1.2,0.9,0.9,0.2,0.8,1.2,7.9
1 season,,LAL,NBA,,4.0,0.0,6.8,0.5,4.0,0.125,0.0,0.0,,0.5,4.0,0.125,0.125,0.3,0.5,0.5,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.3,1.3
