Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016-17,24.0,SAS,NBA,PF,67.0,6.0,12.1,1.5,3.5,0.44,1.0,2.6,0.399,0.5,0.9,0.557,0.588,0.4,0.5,0.824,0.3,1.1,1.5,0.7,0.3,0.4,0.5,1.1,4.5
2017-18,25.0,SAS,NBA,PF,77.0,10.0,14.1,2.1,4.8,0.44,1.2,3.3,0.373,0.9,1.5,0.588,0.568,0.5,0.6,0.816,0.2,1.8,2.0,1.0,0.3,0.4,0.5,1.2,5.9
2018-19,26.0,SAS,NBA,PF,76.0,12.0,21.5,2.7,6.0,0.45,1.9,4.4,0.429,0.8,1.5,0.513,0.61,0.7,0.8,0.883,0.3,3.2,3.5,1.3,0.5,0.4,0.6,1.8,8.0
2019-20,27.0,WAS,NBA,PF,54.0,4.0,29.3,4.9,11.3,0.434,3.7,8.7,0.424,1.2,2.6,0.471,0.598,1.9,2.3,0.852,0.6,3.9,4.5,1.7,0.7,0.6,1.1,2.6,15.4
2020-21,28.0,WAS,NBA,PF,57.0,7.0,25.7,3.4,8.4,0.404,3.0,7.5,0.395,0.4,0.9,0.48,0.581,1.8,2.0,0.87,0.3,2.6,2.9,0.9,0.6,0.2,0.6,2.4,11.5
2021-22,29.0,TOT,NBA,PF,56.0,0.0,14.4,1.8,4.9,0.36,1.4,4.1,0.335,0.4,0.8,0.489,0.5,0.6,0.7,0.9,0.2,1.9,2.1,0.6,0.3,0.2,0.3,1.5,5.6
2021-22,29.0,WAS,NBA,PF,34.0,0.0,14.7,1.8,5.0,0.351,1.4,4.2,0.319,0.4,0.8,0.519,0.485,0.8,0.9,0.933,0.2,1.6,1.8,0.5,0.3,0.2,0.4,1.6,5.7
2021-22,29.0,DAL,NBA,PF,22.0,0.0,13.9,1.8,4.7,0.375,1.4,3.9,0.36,0.4,0.8,0.444,0.524,0.4,0.5,0.8,0.3,2.3,2.5,0.7,0.3,0.3,0.2,1.4,5.3
2022-23,30.0,DAL,NBA,PF,41.0,0.0,10.6,1.4,3.3,0.419,1.1,2.9,0.383,0.3,0.4,0.688,0.588,0.2,0.3,0.833,0.2,0.8,1.0,0.5,0.2,0.1,0.2,1.2,4.1
Career,,,NBA,,428.0,39.0,18.3,2.5,6.0,0.424,1.9,4.7,0.397,0.7,1.3,0.523,0.581,0.9,1.0,0.859,0.3,2.2,2.5,1.0,0.4,0.4,0.5,1.7,7.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,SAS,NBA,,220.0,28.0,16.0,2.1,4.8,0.444,1.4,3.5,0.404,0.7,1.3,0.552,0.591,0.6,0.7,0.846,0.3,2.1,2.3,1.0,0.4,0.4,0.5,1.4,6.2
3 seasons,,WAS,NBA,,145.0,11.0,24.5,3.6,8.7,0.411,2.9,7.2,0.398,0.7,1.5,0.479,0.576,1.6,1.8,0.869,0.4,2.9,3.3,1.1,0.6,0.4,0.7,2.3,11.6
2 seasons,,DAL,NBA,,63.0,0.0,11.8,1.5,3.8,0.4,1.2,3.3,0.374,0.3,0.5,0.559,0.56,0.3,0.3,0.818,0.2,1.3,1.5,0.6,0.3,0.2,0.2,1.3,4.6
