Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1968-69,23.0,CHI,NBA,C,80,,29.6,4.0,10.4,.383,1.8,2.8,.653,,,11.1,2.2,,,,4.0,9.8
1969-70,24.0,CHI,NBA,C,81,,28.8,4.3,9.6,.449,1.9,2.8,.664,,,12.5,2.8,,,,3.1,10.4
1970-71,25.0,CHI,NBA,C,82,,28.9,4.4,9.0,.485,2.0,2.8,.724,,,13.8,4.8,,,,3.4,10.8
1971-72,26.0,CHI,NBA,C,80,,25.3,2.7,6.3,.438,1.5,2.3,.656,,,11.2,3.5,,,,3.2,7.0
1972-73,27.0,CHI,NBA,C,8,,22.0,1.1,3.0,.375,1.5,2.5,.600,,,6.8,5.0,,,,2.8,3.8
1973-74,28.0,CHI,NBA,C,46,,13.1,1.3,2.6,.487,0.9,1.3,.700,1.2,3.5,4.6,2.0,0.3,0.4,,1.7,3.4
1974-75,29.0,CHI,NBA,C,80,,14.7,1.7,3.4,.487,0.9,1.2,.768,1.3,3.4,4.8,3.4,0.3,0.6,,2.0,4.2
1975-76,30.0,CHI,NBA,C,74,,27.6,3.6,7.2,.500,1.6,2.4,.667,3.6,7.1,10.7,3.8,0.6,0.7,,3.6,8.8
1976-77,31.0,CHI,NBA,C,82,,13.0,1.6,3.3,.491,0.4,0.8,.540,1.2,2.6,3.8,2.3,0.2,0.2,,1.8,3.7
1977-78,32.0,Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee)
1977-78,32.0,CHI,NBA,C,22,,10.3,1.0,2.3,.460,0.5,0.6,.769,0.6,2.0,2.7,2.0,0.1,0.2,1.2,1.6,2.5
Career,,,NBA,,635,,22.7,2.9,6.5,.453,1.4,2.0,.675,1.8,4.0,9.0,3.2,0.4,0.5,1.2,2.9,7.2
