Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1949-50,24.0,WAT,NBA,,62,,,3.4,9.0,.373,3.9,5.6,.688,,2.2,4.1,10.6
1950-51,25.0,Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL)
1951-52,26.0,MLH,NBA,SG,66,,30.0,3.0,10.1,.299,3.9,5.3,.731,5.1,2.7,4.1,9.9
1952-53,27.0,TOT,NBA,,67,,20.5,2.3,6.4,.358,2.2,3.1,.694,3.2,1.2,3.4,6.7
1952-53,27.0,MLH,NBA,,27,,24.7,3.2,8.1,.397,2.5,4.0,.626,3.6,1.3,3.8,8.9
1952-53,27.0,BLB,NBA,,23,,14.3,1.3,4.2,.309,2.0,2.6,.780,2.7,1.0,3.0,4.6
1952-53,27.0,FTW,NBA,SF,17,,22.2,2.1,6.5,.324,1.9,2.5,.744,3.4,1.2,3.4,6.1
Career,,,NBA,,195,,25.2,2.9,8.5,.339,3.3,4.7,.706,4.2,2.0,3.9,9.0
,,,,,,,,,,,,,,,,,
2 seasons,,MLH,NBA,,93,,28.5,3.1,9.5,.324,3.5,4.9,.707,4.7,2.3,4.0,9.6
1 season,,WAT,NBA,,62,,,3.4,9.0,.373,3.9,5.6,.688,,2.2,4.1,10.6
1 season,,BLB,NBA,,23,,14.3,1.3,4.2,.309,2.0,2.6,.780,2.7,1.0,3.0,4.6
1 season,,FTW,NBA,,17,,22.2,2.1,6.5,.324,1.9,2.5,.744,3.4,1.2,3.4,6.1
