Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2018-19,22.0,PHO,NBA,SF,82.0,56.0,29.5,3.0,6.9,0.43,1.3,3.8,0.335,1.7,3.0,0.548,0.523,1.2,1.4,0.805,0.7,2.5,3.2,2.1,1.6,0.5,0.9,2.5,8.3
2019-20,23.0,PHO,NBA,SF,73.0,32.0,28.0,3.4,6.6,0.51,1.0,2.7,0.361,2.4,4.0,0.61,0.583,1.4,1.7,0.844,0.9,3.1,4.0,1.8,1.4,0.6,1.0,2.2,9.1
2020-21,24.0,PHO,NBA,SF,72.0,72.0,32.6,5.0,9.3,0.543,1.9,4.4,0.425,3.2,4.9,0.647,0.643,1.5,1.8,0.84,1.1,3.2,4.3,2.1,1.1,0.9,0.8,1.6,13.5
2021-22,25.0,PHO,NBA,SF,82.0,82.0,34.8,5.6,10.5,0.534,1.4,3.8,0.369,4.2,6.7,0.628,0.601,1.6,1.9,0.834,0.9,3.3,4.2,2.3,1.2,0.4,0.8,1.8,14.2
2022-23,26.0,TOT,NBA,SF,76.0,76.0,36.0,7.0,14.8,0.474,2.0,5.2,0.395,5.0,9.7,0.516,0.543,3.6,4.0,0.902,1.0,3.4,4.4,3.3,1.1,0.8,1.5,2.0,19.7
2022-23,26.0,PHO,NBA,SF,56.0,56.0,36.4,6.3,13.6,0.463,1.8,4.7,0.387,4.5,9.0,0.503,0.529,2.8,3.1,0.897,1.0,3.3,4.3,3.6,1.2,0.8,1.4,2.1,17.2
2022-23,26.0,BRK,NBA,SF,20.0,20.0,34.7,9.0,18.2,0.496,2.7,6.6,0.412,6.3,11.6,0.543,0.57,6.1,6.7,0.91,0.9,3.7,4.6,2.6,0.9,0.7,1.8,1.7,26.8
Career,,,NBA,,385.0,318.0,32.2,4.8,9.6,0.498,1.5,4.0,0.379,3.3,5.6,0.582,0.576,1.9,2.2,0.857,0.9,3.1,4.0,2.3,1.3,0.6,1.0,2.0,12.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,PHO,NBA,,365.0,298.0,32.1,4.6,9.1,0.499,1.4,3.8,0.376,3.1,5.3,0.586,0.577,1.6,1.9,0.848,0.9,3.1,4.0,2.3,1.3,0.6,0.9,2.0,12.2
1 season,,BRK,NBA,,20.0,20.0,34.7,9.0,18.2,0.496,2.7,6.6,0.412,6.3,11.6,0.543,0.57,6.1,6.7,0.91,0.9,3.7,4.6,2.6,0.9,0.7,1.8,1.7,26.8
