Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2018-19,19.0,WAS,NBA,SF,52.0,10.0,14.0,1.9,4.5,0.415,0.4,1.3,0.319,1.4,3.2,0.455,0.462,0.6,0.9,0.681,0.7,2.1,2.8,1.5,0.4,0.1,0.6,1.1,4.8
2019-20,20.0,WAS,NBA,SF,69.0,22.0,25.8,4.0,9.0,0.439,0.9,2.6,0.341,3.1,6.4,0.479,0.488,1.6,2.0,0.784,1.1,4.4,5.6,2.6,1.2,0.1,1.1,1.9,10.4
2020-21,21.0,TOT,NBA,SF,34.0,0.0,15.4,1.8,4.2,0.431,0.6,2.1,0.314,1.2,2.2,0.541,0.507,0.4,0.6,0.714,0.6,2.5,3.1,0.9,0.3,0.2,0.6,1.4,4.7
2020-21,21.0,WAS,NBA,SF,21.0,0.0,13.7,1.6,4.2,0.371,0.7,2.2,0.304,0.9,2.0,0.442,0.449,0.5,0.7,0.667,0.5,2.4,2.9,0.9,0.1,0.2,0.8,1.4,4.3
2020-21,21.0,CHI,NBA,SF,13.0,0.0,18.2,2.2,4.2,0.527,0.6,1.8,0.333,1.6,2.4,0.677,0.6,0.4,0.5,0.833,0.7,2.7,3.4,0.8,0.5,0.2,0.4,1.5,5.5
2021-22,22.0,CHI,NBA,SF,66.0,7.0,16.0,1.6,3.9,0.419,0.7,2.0,0.353,0.9,1.9,0.488,0.51,0.3,0.4,0.769,0.6,2.5,3.1,1.0,0.5,0.1,0.4,0.9,4.3
2022-23,23.0,LAL,NBA,SF,69.0,45.0,24.9,2.7,6.3,0.432,1.4,3.9,0.376,1.3,2.5,0.517,0.546,0.5,0.5,0.892,0.9,3.3,4.1,1.2,0.8,0.2,0.7,1.6,7.4
Career,,,NBA,,290.0,84.0,20.0,2.5,5.8,0.43,0.9,2.5,0.351,1.6,3.4,0.487,0.504,0.7,0.9,0.774,0.8,3.1,3.9,1.5,0.7,0.1,0.7,1.4,6.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,WAS,NBA,,142.0,32.0,19.7,2.8,6.7,0.426,0.7,2.1,0.33,2.2,4.6,0.47,0.478,1.1,1.4,0.751,0.9,3.3,4.1,2.0,0.8,0.1,0.9,1.5,7.4
2 seasons,,CHI,NBA,,79.0,7.0,16.4,1.7,4.0,0.438,0.7,2.0,0.35,1.0,2.0,0.526,0.526,0.3,0.4,0.781,0.6,2.5,3.1,1.0,0.5,0.1,0.4,1.0,4.5
1 season,,LAL,NBA,,69.0,45.0,24.9,2.7,6.3,0.432,1.4,3.9,0.376,1.3,2.5,0.517,0.546,0.5,0.5,0.892,0.9,3.3,4.1,1.2,0.8,0.2,0.7,1.6,7.4
