Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2017-18,20.0,LAL,NBA,C,15.0,0.0,4.8,0.5,1.4,0.381,0.1,0.7,0.1,0.5,0.7,0.636,0.405,0.3,0.6,0.556,0.2,0.9,1.1,0.4,0.1,0.1,0.1,0.4,1.5
2018-19,21.0,WAS,NBA,C,72.0,53.0,20.8,4.3,7.0,0.616,0.5,1.4,0.333,3.8,5.6,0.685,0.648,1.5,1.9,0.781,1.6,4.7,6.3,1.3,0.3,0.9,0.8,1.8,10.5
2019-20,22.0,WAS,NBA,C,46.0,36.0,24.9,5.3,9.1,0.581,0.8,2.0,0.407,4.5,7.1,0.63,0.626,1.9,2.5,0.741,2.1,5.1,7.2,1.8,0.5,1.1,1.2,2.2,13.2
2020-21,23.0,WAS,NBA,C,10.0,10.0,27.1,5.9,9.1,0.648,0.9,2.1,0.429,5.0,7.0,0.714,0.698,1.6,2.4,0.667,1.8,4.3,6.1,1.5,0.4,0.8,1.1,3.1,14.3
2021-22,24.0,WAS,NBA,C,27.0,9.0,16.3,2.9,5.5,0.52,0.4,1.6,0.286,2.4,3.9,0.613,0.561,1.3,1.5,0.875,1.0,3.0,4.0,0.9,0.2,0.8,0.7,1.6,7.4
2022-23,25.0,TOT,NBA,C,57.0,25.0,18.3,3.9,6.2,0.626,0.4,1.0,0.436,3.5,5.3,0.661,0.66,1.6,2.2,0.738,1.5,4.3,5.8,0.5,0.3,0.5,0.6,1.7,9.9
2022-23,25.0,LAL,NBA,C,41.0,25.0,21.4,4.8,7.3,0.654,0.5,1.2,0.44,4.3,6.1,0.697,0.691,2.0,2.6,0.741,1.6,5.2,6.8,0.7,0.3,0.6,0.7,1.9,12.1
2022-23,25.0,DEN,NBA,C,16.0,0.0,10.6,1.6,3.4,0.473,0.1,0.3,0.4,1.5,3.1,0.48,0.491,0.8,1.1,0.722,1.1,1.9,3.1,0.1,0.1,0.3,0.6,1.3,4.2
Career,,,NBA,,227.0,133.0,19.7,4.0,6.8,0.598,0.5,1.4,0.365,3.5,5.4,0.659,0.636,1.5,2.0,0.757,1.5,4.2,5.7,1.1,0.3,0.8,0.8,1.8,10.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,WAS,NBA,,155.0,108.0,21.6,4.4,7.5,0.594,0.6,1.6,0.36,3.9,5.8,0.659,0.633,1.6,2.0,0.77,1.6,4.5,6.2,1.4,0.4,0.9,0.9,2.0,11.0
2 seasons,,LAL,NBA,,56.0,25.0,16.9,3.7,5.8,0.637,0.4,1.1,0.383,3.3,4.7,0.695,0.672,1.5,2.1,0.726,1.3,4.0,5.3,0.6,0.3,0.4,0.5,1.5,9.3
1 season,,DEN,NBA,,16.0,0.0,10.6,1.6,3.4,0.473,0.1,0.3,0.4,1.5,3.1,0.48,0.491,0.8,1.1,0.722,1.1,1.9,3.1,0.1,0.1,0.3,0.6,1.3,4.2
