Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,22.0,ANA,ABA,C,71.0,,31.9,4.2,10.1,0.419,0.0,0.0,0.0,4.2,10.1,0.42,0.419,3.6,5.0,0.727,,,8.3,1.1,1.9,2.7,12.1
1968-69,23.0,TOT,ABA,C,58.0,,13.9,1.5,3.5,0.424,0.0,0.0,,1.5,3.5,0.424,0.424,2.0,2.8,0.691,1.3,2.7,4.0,0.3,1.0,2.2,4.9
1968-69,23.0,DNR,ABA,C,23.0,,9.8,1.0,2.6,0.373,0.0,0.0,,1.0,2.6,0.373,0.373,2.1,3.0,0.7,0.7,1.8,2.5,0.1,0.9,1.9,4.0
1968-69,23.0,DLC,ABA,C,24.0,,17.6,2.1,4.7,0.442,0.0,0.0,,2.1,4.7,0.442,0.442,2.3,3.2,0.724,1.5,3.8,5.3,0.6,1.3,2.6,6.5
1968-69,23.0,HSM,ABA,C,11.0,,14.2,1.3,2.8,0.452,0.0,0.0,,1.3,2.8,0.452,0.452,0.9,1.7,0.526,1.9,2.4,4.3,0.2,0.8,2.0,3.5
Career,,,ABA,,129.0,,23.8,3.0,7.1,0.42,0.0,0.0,0.0,3.0,7.1,0.42,0.42,2.9,4.0,0.716,1.3,2.7,6.4,0.7,1.5,2.5,8.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,ANA,ABA,,71.0,,31.9,4.2,10.1,0.419,0.0,0.0,0.0,4.2,10.1,0.42,0.419,3.6,5.0,0.727,,,8.3,1.1,1.9,2.7,12.1
1 season,,DLC,ABA,,24.0,,17.6,2.1,4.7,0.442,0.0,0.0,,2.1,4.7,0.442,0.442,2.3,3.2,0.724,1.5,3.8,5.3,0.6,1.3,2.6,6.5
1 season,,DNR,ABA,,23.0,,9.8,1.0,2.6,0.373,0.0,0.0,,1.0,2.6,0.373,0.373,2.1,3.0,0.7,0.7,1.8,2.5,0.1,0.9,1.9,4.0
1 season,,HSM,ABA,,11.0,,14.2,1.3,2.8,0.452,0.0,0.0,,1.3,2.8,0.452,0.452,0.9,1.7,0.526,1.9,2.4,4.3,0.2,0.8,2.0,3.5
