Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1961-62,25.0,NYK,NBA,PG,47.0,,10.2,1.0,3.3,0.31,0.9,1.5,0.609,1.7,1.1,1.3,2.9
1962-63,26.0,NYK,NBA,SG,68.0,,17.5,2.5,6.2,0.406,1.9,2.9,0.675,2.6,2.0,2.4,7.0
1963-64,27.0,TOT,NBA,PG,78.0,,25.3,2.6,6.5,0.398,2.0,3.3,0.621,4.2,3.1,3.2,7.2
1963-64,27.0,NYK,NBA,,26.0,,16.1,1.4,4.4,0.322,1.6,2.5,0.636,2.6,2.5,2.0,4.5
1963-64,27.0,DET,NBA,PG,52.0,,29.9,3.2,7.5,0.421,2.3,3.7,0.616,5.0,3.4,3.8,8.6
1964-65,28.0,DET,NBA,PG,71.0,,16.3,2.0,5.0,0.405,1.8,2.9,0.618,2.8,1.7,2.6,5.8
1965-66,29.0,DET,NBA,PG,15.0,,19.0,3.0,6.4,0.469,1.2,2.3,0.529,2.2,2.0,2.7,7.2
Career,,,NBA,,279.0,,18.2,2.2,5.5,0.397,1.7,2.7,0.629,2.9,2.1,2.5,6.1
,,,,,,,,,,,,,,,,,
3 seasons,,NYK,NBA,,141.0,,14.8,1.8,4.9,0.37,1.5,2.3,0.653,2.3,1.8,2.0,5.2
3 seasons,,DET,NBA,,138.0,,21.7,2.6,6.1,0.42,1.9,3.1,0.61,3.6,2.4,3.0,7.0
