Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1961-62,23.0,TOT,NBA,PG,59.0,,34.2,5.9,12.8,0.463,2.2,3.1,0.709,5.7,3.5,2.6,14.0
1961-62,23.0,BOS,NBA,PG,5.0,,9.4,2.6,5.8,0.448,1.0,1.2,0.833,2.6,0.8,1.8,6.2
1961-62,23.0,NYK,NBA,PG,54.0,,36.5,6.2,13.4,0.463,2.3,3.3,0.705,6.0,3.7,2.7,14.7
1962-63,24.0,NYK,NBA,PG,74.0,,20.1,4.0,9.1,0.439,1.9,2.5,0.77,2.3,2.1,2.0,10.0
1963-64,25.0,NYK,NBA,PG,76.0,,18.1,3.4,8.1,0.422,1.8,2.5,0.738,2.2,2.1,2.2,8.7
1964-65,26.0,BAL,NBA,PG,25.0,,6.9,1.0,2.9,0.329,0.4,0.6,0.733,0.8,0.5,1.0,2.4
Career,,,NBA,,234.0,,21.6,4.0,9.1,0.439,1.8,2.4,0.739,3.0,2.3,2.1,9.8
,,,,,,,,,,,,,,,,,
3 seasons,,NYK,NBA,,204.0,,23.7,4.4,9.9,0.443,2.0,2.7,0.738,3.2,2.5,2.3,10.7
1 season,,BAL,NBA,,25.0,,6.9,1.0,2.9,0.329,0.4,0.6,0.733,0.8,0.5,1.0,2.4
1 season,,BOS,NBA,,5.0,,9.4,2.6,5.8,0.448,1.0,1.2,0.833,2.6,0.8,1.8,6.2
