Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1969-70,24.0,BAL,NBA,SG,76.0,,16.0,2.1,5.8,0.358,1.1,1.5,0.69,,,2.5,1.6,,,1.8,5.2
1970-71,25.0,BAL,NBA,SG,77.0,,22.2,4.4,10.6,0.417,1.5,2.4,0.65,,,3.3,2.1,,,2.1,10.4
1971-72,26.0,TOT,NBA,SG,79.0,,28.0,5.6,12.9,0.438,2.3,3.7,0.621,,,4.1,2.7,,,3.1,13.6
1971-72,26.0,BAL,NBA,SG,2.0,,34.0,3.0,13.5,0.222,1.5,4.5,0.333,,,9.5,6.0,,,3.5,7.5
1971-72,26.0,PHI,NBA,SG,77.0,,27.9,5.7,12.9,0.444,2.3,3.7,0.63,,,4.0,2.6,,,3.1,13.8
1972-73,27.0,PHI,NBA,SG,81.0,,37.0,8.4,19.9,0.421,3.2,4.5,0.704,,,6.0,4.3,,,3.1,20.0
1973-74,28.0,PHI,NBA,SG,78.0,,39.0,9.1,21.0,0.43,3.3,4.6,0.709,1.1,3.7,4.8,5.7,1.4,0.3,3.5,21.4
1974-75,29.0,PHI,NBA,PG,77.0,,39.6,9.3,20.8,0.447,3.3,4.5,0.738,0.9,3.5,4.4,4.4,1.1,0.3,3.3,21.9
1975-76,30.0,PHI,NBA,PG,82.0,,36.5,8.1,19.4,0.417,2.7,3.8,0.702,1.4,2.3,3.6,4.5,1.7,0.2,3.5,18.9
1976-77,31.0,TOT,NBA,SG,61.0,,18.2,3.4,8.2,0.418,1.1,1.6,0.708,0.9,1.0,1.9,2.0,0.6,0.1,2.0,8.0
1976-77,31.0,PHI,NBA,SG,14.0,,16.9,3.1,7.2,0.426,0.7,1.4,0.526,0.7,1.0,1.7,1.5,0.8,0.1,2.1,6.9
1976-77,31.0,MIL,NBA,SG,47.0,,18.6,3.5,8.5,0.416,1.2,1.6,0.753,1.0,1.0,2.0,2.2,0.6,0.1,2.0,8.3
Career,,,NBA,,611.0,,30.0,6.4,15.1,0.425,2.4,3.4,0.693,1.1,2.7,3.9,3.5,1.2,0.2,2.8,15.2
,,,,,,,,,,,,,,,,,,,,,
6 seasons,,PHI,NBA,,409.0,,35.4,7.9,18.4,0.431,2.9,4.1,0.697,1.1,3.0,4.5,4.2,1.4,0.2,3.3,18.8
3 seasons,,BAL,NBA,,155.0,,19.3,3.2,8.3,0.393,1.3,2.0,0.656,,,3.0,1.9,,,2.0,7.8
1 season,,MIL,NBA,,47.0,,18.6,3.5,8.5,0.416,1.2,1.6,0.753,1.0,1.0,2.0,2.2,0.6,0.1,2.0,8.3
